Database,DevType,Count,Rank
BigQuery,"Developer, full-stack",489,1
BigQuery,"Developer, back-end",464,2
BigQuery,"Engineer, data",175,3
BigQuery,Data scientist or machine learning specialist,118,4
BigQuery,Engineering manager,88,5
BigQuery,Cloud infrastructure engineer,57,6
BigQuery,Other (please specify):,52,7
BigQuery,"Senior Executive (C-Suite, VP, etc.)",49,8
BigQuery,DevOps specialist,38,9
BigQuery,"Developer, mobile",35,10
BigQuery,Data or business analyst,35,11
BigQuery,"Developer, front-end",23,12
BigQuery,Research & Development role,21,13
BigQuery,"Engineer, site reliability",16,14
BigQuery,"Developer, desktop or enterprise applications",16,15
BigQuery,Security professional,10,16
BigQuery,Product manager,8,17
BigQuery,Project manager,7,18
BigQuery,Developer Experience,7,19
BigQuery,Blockchain,7,20
BigQuery,"Developer, game or graphics",6,21
BigQuery,Database administrator,6,22
BigQuery,"Developer, embedded applications or devices",6,23
BigQuery,Designer,5,24
BigQuery,"Developer, QA or test",5,25
BigQuery,Developer Advocate,4,26
BigQuery,System administrator,3,27
BigQuery,Marketing or sales professional,2,28
BigQuery,Educator,1,29
BigQuery,Hardware Engineer,1,30
BigQuery,Scientist,1,31
BigQuery,Student,1,32
Cassandra,"Developer, back-end",1932,1
Cassandra,"Developer, full-stack",1348,2
Cassandra,DevOps specialist,530,3
Cassandra,"Developer, front-end",478,4
Cassandra,"Engineer, data",406,5
Cassandra,"Developer, desktop or enterprise applications",389,6
Cassandra,Engineering manager,288,7
Cassandra,Data scientist or machine learning specialist,287,8
Cassandra,"Developer, mobile",272,9
Cassandra,"Engineer, site reliability",261,10
Cassandra,System administrator,246,11
Cassandra,Database administrator,241,12
Cassandra,Cloud infrastructure engineer,168,13
Cassandra,"Developer, QA or test",161,14
Cassandra,"Developer, embedded applications or devices",153,15
Cassandra,Data or business analyst,142,16
Cassandra,Academic researcher,119,17
Cassandra,Educator,117,18
Cassandra,Product manager,116,19
Cassandra,Designer,116,20
Cassandra,Scientist,85,21
Cassandra,"Senior Executive (C-Suite, VP, etc.)",72,22
Cassandra,Other (please specify):,68,23
Cassandra,"Developer, game or graphics",63,24
Cassandra,Project manager,44,25
Cassandra,Student,43,26
Cassandra,Security professional,33,27
Cassandra,Senior executive/VP,33,28
Cassandra,Research & Development role,23,29
Cassandra,Marketing or sales professional,21,30
Cassandra,Blockchain,21,31
Cassandra,Developer Experience,4,32
Cassandra,Developer Advocate,3,33
Clickhouse,"Developer, back-end",123,1
Clickhouse,"Developer, full-stack",82,2
Clickhouse,"Engineer, data",19,3
Clickhouse,Data scientist or machine learning specialist,13,4
Clickhouse,"Senior Executive (C-Suite, VP, etc.)",13,5
Clickhouse,Cloud infrastructure engineer,10,6
Clickhouse,"Engineer, site reliability",10,7
Clickhouse,Engineering manager,9,8
Clickhouse,Other (please specify):,8,9
Clickhouse,Research & Development role,7,10
Clickhouse,DevOps specialist,7,11
Clickhouse,"Developer, front-end",5,12
Clickhouse,"Developer, desktop or enterprise applications",4,13
Clickhouse,"Developer, game or graphics",3,14
Clickhouse,"Developer, QA or test",2,15
Clickhouse,Blockchain,2,16
Clickhouse,"Developer, embedded applications or devices",2,17
Clickhouse,Developer Experience,2,18
Clickhouse,Security professional,1,19
Clickhouse,Student,1,20
Clickhouse,Developer Advocate,1,21
