DevType,Language,Count,Rank
Academic researcher,Python,1765,1
Academic researcher,JavaScript,1624,2
Academic researcher,HTML/CSS,1503,3
Academic researcher,SQL,1429,4
Academic researcher,Java,1006,5
Academic researcher,C++,943,6
Academic researcher,C,836,7
Academic researcher,Bash/Shell/PowerShell,682,8
Academic researcher,PHP,639,9
Academic researcher,C#,620,10
Academic researcher,TypeScript,602,11
Academic researcher,R,501,12
Academic researcher,Bash/Shell,402,13
Academic researcher,Go,293,14
Academic researcher,Assembly,236,15
Academic researcher,Ruby,212,16
Academic researcher,Rust,210,17
Academic researcher,Node.js,200,18
Academic researcher,Kotlin,181,19
Academic researcher,VBA,178,20
Academic researcher,PowerShell,155,21
Academic researcher,Scala,141,22
Academic researcher,Dart,129,23
Academic researcher,Swift,123,24
Academic researcher,Objective-C,111,25
Academic researcher,Perl,89,26
Academic researcher,Matlab,89,27
Academic researcher,Other(s):,85,28
Academic researcher,Haskell,79,29
Academic researcher,MATLAB,74,30
Academic researcher,Julia,73,31
Academic researcher,Bash/Shell (all shells),43,32
Academic researcher,Groovy,32,33
Academic researcher,LISP,31,34
Academic researcher,Erlang,30,35
Academic researcher,Lua,28,36
Academic researcher,Elixir,27,37
Academic researcher,Delphi,27,38
Academic researcher,Clojure,24,39
Academic researcher,F#,21,40
Academic researcher,APL,14,41
Academic researcher,Fortran,12,42
Academic researcher,Crystal,11,43
Academic researcher,Solidity,11,44
Academic researcher,COBOL,9,45
Academic researcher,SAS,8,46
Academic researcher,OCaml,7,47
Academic researcher,WebAssembly,6,48
Academic researcher,Visual Basic (.Net),5,49
Academic researcher,Prolog,3,50
Academic researcher,Nim,3,51
Academic researcher,Lisp,2,52
Academic researcher,Cobol,1,53
Blockchain,JavaScript,415,1
Blockchain,TypeScript,329,2
Blockchain,Python,276,3
Blockchain,HTML/CSS,275,4
Blockchain,SQL,260,5
Blockchain,Solidity,186,6
Blockchain,Java,162,7
Blockchain,Bash/Shell,158,8
Blockchain,Rust,145,9
Blockchain,Go,140,10
Blockchain,C++,113,11
Blockchain,C#,106,12
Blockchain,PHP,105,13
Blockchain,C,101,14
Blockchain,PowerShell,66,15
Blockchain,Kotlin,65,16
Blockchain,Ruby,46,17
Blockchain,Dart,45,18
Blockchain,Swift,38,19
Blockchain,Bash/Shell (all shells),38,20
Blockchain,Haskell,32,21
Blockchain,Assembly,32,22
Blockchain,Groovy,31,23
Blockchain,Scala,28,24
Blockchain,Lua,28,25
Blockchain,Objective-C,25,26
Blockchain,R,25,27
Blockchain,MATLAB,24,28
Blockchain,Elixir,23,29
Blockchain,VBA,17,30
Blockchain,Perl,17,31
Blockchain,Clojure,15,32
Blockchain,OCaml,14,33
Blockchain,Delphi,12,34
Blockchain,Julia,11,35
Blockchain,LISP,11,36
Blockchain,Erlang,10,37
Blockchain,F#,9,38
Blockchain,SAS,8,39
Blockchain,COBOL,6,40
Blockchain,APL,5,41
Blockchain,Crystal,5,42
Blockchain,Fortran,4,43
Blockchain,Apex,2,44
Blockchain,GDScript,1,45
Blockchain,Ada,1,46
Blockchain,Cobol,1,47
Cloud infrastructure engineer,JavaScript,2144,1
Cloud infrastructure engineer,Python,1944,2
Cloud infrastructure engineer,SQL,1914,3
Cloud infrastructure engineer,HTML/CSS,1611,4
Cloud infrastructure engineer,TypeScript,1461,5
Cloud infrastructure engineer,Bash/Shell,1446,6
Cloud infrastructure engineer,Java,1110,7
Cloud infrastructure engineer,Go,966,8
Cloud infrastructure engineer,C#,912,9
Cloud infrastructure engineer,PowerShell,656,10
