YearsGroup,DevType,Webframe,Count,Rank
junior,Academic researcher,React.js,18,1
junior,Academic researcher,jQuery,15,2
junior,Academic researcher,Django,12,3
junior,Academic researcher,Flask,10,4
junior,Academic researcher,Angular.js,10,5
junior,Academic researcher,ASP.NET,10,6
junior,Academic researcher,Express,8,7
junior,Academic researcher,ASP.NET Core ,4,8
junior,Academic researcher,Vue.js,4,9
junior,Academic researcher,Spring,4,10
junior,Academic researcher,ASP.NET Core,4,11
junior,Academic researcher,Gatsby,3,12
junior,Academic researcher,Node.js,3,13
junior,Academic researcher,Angular,3,14
junior,Academic researcher,FastAPI,2,15
junior,Academic researcher,Nuxt.js,1,16
junior,Academic researcher,Laravel,1,17
junior,Blockchain,Node.js,20,1
junior,Blockchain,React.js,19,2
junior,Blockchain,Express,15,3
junior,Blockchain,Next.js,10,4
junior,Blockchain,Django,7,5
junior,Blockchain,Flask,5,6
junior,Blockchain,jQuery,4,7
junior,Blockchain,ASP.NET,3,8
junior,Blockchain,Angular,3,9
junior,Blockchain,Angular.js,3,10
junior,Blockchain,React,2,11
junior,Blockchain,Vue.js,2,12
junior,Blockchain,Laravel,2,13
junior,Blockchain,Remix,1,14
junior,Blockchain,ASP.NET CORE,1,15
junior,Blockchain,Fastify,1,16
junior,Blockchain,FastAPI,1,17
junior,Blockchain,Svelte,1,18
junior,Blockchain,Nuxt.js,1,19
junior,Cloud infrastructure engineer,Node.js,16,1
junior,Cloud infrastructure engineer,React.js,13,2
junior,Cloud infrastructure engineer,Express,10,3
junior,Cloud infrastructure engineer,FastAPI,6,4
junior,Cloud infrastructure engineer,Vue.js,5,5
junior,Cloud infrastructure engineer,jQuery,5,6
junior,Cloud infrastructure engineer,Flask,4,7
junior,Cloud infrastructure engineer,Next.js,4,8
junior,Cloud infrastructure engineer,ASP.NET,4,9
junior,Cloud infrastructure engineer,ASP.NET Core ,4,10
junior,Cloud infrastructure engineer,Angular,3,11
junior,Cloud infrastructure engineer,Django,2,12
junior,Cloud infrastructure engineer,Nuxt.js,2,13
junior,Cloud infrastructure engineer,ASP.NET CORE,1,14
junior,Cloud infrastructure engineer,Angular.js,1,15
junior,Cloud infrastructure engineer,Fastify,1,16
junior,Cloud infrastructure engineer,Laravel,1,17
junior,Cloud infrastructure engineer,Blazor,1,18
junior,Data or business analyst,Django,62,1
junior,Data or business analyst,Flask,47,2
junior,Data or business analyst,React.js,43,3
junior,Data or business analyst,jQuery,42,4
junior,Data or business analyst,Express,27,5
junior,Data or business analyst,Node.js,21,6
junior,Data or business analyst,FastAPI,19,7
junior,Data or business analyst,ASP.NET,19,8
junior,Data or business analyst,Angular,17,9
junior,Data or business analyst,Vue.js,15,10
junior,Data or business analyst,Laravel,12,11
junior,Data or business analyst,ASP.NET Core ,10,12
junior,Data or business analyst,React,5,13
junior,Data or business analyst,Gatsby,5,14
junior,Data or business analyst,Angular.js,5,15
junior,Data or business analyst,Ruby on Rails,5,16
junior,Data or business analyst,Spring,5,17
junior,Data or business analyst,Svelte,4,18
junior,Data or business analyst,WordPress,3,19
junior,Data or business analyst,Next.js,3,20
junior,Data or business analyst,Nuxt.js,3,21
junior,Data or business analyst,Drupal,3,22
junior,Data or business analyst,ASP.NET Core,3,23
junior,Data or business analyst,Blazor,2,24
junior,Data or business analyst,Symfony,2,25
junior,Data or business analyst,Fastify,1,26
junior,Data or business analyst,Deno,1,27
junior,Data or business analyst,NestJS,1,28
junior,Data scientist or machine learning specialist,Flask,58,1
junior,Data scientist or machine learning specialist,Django,38,2
junior,Data scientist or machine learning specialist,jQuery,27,3
junior,Data scientist or machine learning specialist,React.js,23,4
junior,Data scientist or machine learning specialist,FastAPI,22,5
junior,Data scientist or machine learning specialist,Express,14,6
junior,Data scientist or machine learning specialist,ASP.NET,12,7
junior,Data scientist or machine learning specialist,Angular,8,8
junior,Data scientist or machine learning specialist,Vue.js,8,9
junior,Data scientist or machine learning specialist,Node.js,7,10
junior,Data scientist or machine learning specialist,ASP.NET Core ,5,11
junior,Data scientist or machine learning specialist,Laravel,5,12
junior,Data scientist or machine learning specialist,Angular.js,5,13
junior,Data scientist or machine learning specialist,Spring,4,14
junior,Data scientist or machine learning specialist,ASP.NET Core,4,15
junior,Data scientist or machine learning specialist,WordPress,2,16
junior,Data scientist or machine learning specialist,React,2,17
junior,Data scientist or machine learning specialist,Nuxt.js,2,18
junior,Data scientist or machine learning specialist,Symfony,2,19
junior,Data scientist or machine learning specialist,Fastify,1,20
junior,Data scientist or machine learning specialist,Spring Boot,1,21
junior,Data scientist or machine learning specialist,AngularJS,1,22
junior,Data scientist or machine learning specialist,Ruby on Rails,1,23
junior,Data scientist or machine learning specialist,Gatsby,1,24
junior,Data scientist or machine learning specialist,Drupal,1,25
junior,Database administrator,jQuery,53,1
junior,Database administrator,React.js,43,2
junior,Database administrator,Express,31,3
junior,Database administrator,ASP.NET,30,4
junior,Database administrator,Angular,27,5
junior,Database administrator,Django,26,6
junior,Database administrator,Flask,23,7
junior,Database administrator,Laravel,21,8
junior,Database administrator,Node.js,19,9
junior,Database administrator,Angular.js,16,10
junior,Database administrator,Vue.js,15,11
junior,Database administrator,ASP.NET Core ,15,12
junior,Database administrator,FastAPI,13,13
junior,Database administrator,Spring,10,14
junior,Database administrator,ASP.NET Core,8,15
junior,Database administrator,Gatsby,5,16
junior,Database administrator,Fastify,4,17
junior,Database administrator,Ruby on Rails,4,18
junior,Database administrator,Blazor,3,19
junior,Database administrator,Next.js,3,20
junior,Database administrator,Symfony,3,21
junior,Database administrator,Nuxt.js,2,22
junior,Database administrator,Svelte,2,23
junior,Database administrator,WordPress,1,24
junior,Database administrator,Spring Boot,1,25
junior,Database administrator,Deno,1,26
junior,Database administrator,Play Framework,1,27
junior,Designer,React.js,76,1
junior,Designer,jQuery,61,2
junior,Designer,Express,51,3
junior,Designer,Angular,39,4
junior,Designer,Django,27,5
junior,Designer,Angular.js,24,6
junior,Designer,Vue.js,23,7
junior,Designer,ASP.NET,23,8
junior,Designer,Laravel,18,9
junior,Designer,Node.js,17,10
junior,Designer,Spring,13,11
junior,Designer,Flask,11,12
junior,Designer,Gatsby,10,13
junior,Designer,ASP.NET Core ,8,14
junior,Designer,ASP.NET Core,8,15
junior,Designer,Next.js,6,16
junior,Designer,Nuxt.js,4,17
junior,Designer,Symfony,4,18
junior,Designer,Svelte,3,19
junior,Designer,FastAPI,2,20
junior,Designer,Ruby on Rails,2,21
junior,Designer,Drupal,1,22
junior,DevOps specialist,React.js,48,1
junior,DevOps specialist,Express,44,2
junior,DevOps specialist,Flask,36,3
junior,DevOps specialist,jQuery,34,4
junior,DevOps specialist,Angular,26,5
junior,DevOps specialist,Django,24,6
junior,DevOps specialist,Node.js,21,7
junior,DevOps specialist,Vue.js,20,8
junior,DevOps specialist,ASP.NET,19,9
junior,DevOps specialist,ASP.NET Core ,12,10
junior,DevOps specialist,Laravel,11,11
junior,DevOps specialist,Angular.js,11,12
junior,DevOps specialist,FastAPI,10,13
junior,DevOps specialist,Next.js,10,14
junior,DevOps specialist,Spring,10,15
junior,DevOps specialist,ASP.NET Core,10,16
junior,DevOps specialist,Ruby on Rails,7,17
junior,DevOps specialist,React,6,18
junior,DevOps specialist,Symfony,6,19
junior,DevOps specialist,Gatsby,5,20
junior,DevOps specialist,ASP.NET CORE,3,21
junior,DevOps specialist,Svelte,3,22
junior,DevOps specialist,Fastify,2,23
junior,DevOps specialist,Drupal,2,24
junior,DevOps specialist,Blazor,1,25
junior,DevOps specialist,NestJS,1,26
junior,DevOps specialist,Nuxt.js,1,27
junior,DevOps specialist,Phoenix,1,28
junior,Developer Advocate,FastAPI,1,1
junior,Developer Advocate,Next.js,1,2
junior,Developer Advocate,NestJS,1,3
junior,Developer Experience,React,3,1
junior,Developer Experience,Node.js,3,2
junior,Developer Experience,ASP.NET CORE,2,3
junior,Developer Experience,ASP.NET,1,4
junior,Developer Experience,NestJS,1,5
junior,Developer Experience,AngularJS,1,6
junior,Developer Experience,Svelte,1,7
junior,Developer Experience,Express,1,8
junior,Developer Experience,Flask,1,9
junior,Developer Experience,jQuery,1,10
junior,Developer Experience,Next.js,1,11
junior,"Developer, QA or test",jQuery,60,1
junior,"Developer, QA or test",React.js,58,2
junior,"Developer, QA or test",Express,35,3
junior,"Developer, QA or test",Angular.js,26,4
junior,"Developer, QA or test",Angular,26,5
junior,"Developer, QA or test",ASP.NET,24,6
junior,"Developer, QA or test",Node.js,22,7
junior,"Developer, QA or test",Spring,22,8
junior,"Developer, QA or test",Vue.js,21,9
junior,"Developer, QA or test",Django,20,10
junior,"Developer, QA or test",Flask,20,11
junior,"Developer, QA or test",Laravel,12,12
junior,"Developer, QA or test",Next.js,11,13
junior,"Developer, QA or test",Ruby on Rails,11,14
junior,"Developer, QA or test",ASP.NET Core ,11,15
junior,"Developer, QA or test",ASP.NET Core,10,16
junior,"Developer, QA or test",FastAPI,7,17
junior,"Developer, QA or test",React,6,18
junior,"Developer, QA or test",Gatsby,5,19
junior,"Developer, QA or test",Blazor,4,20
junior,"Developer, QA or test",Symfony,4,21
junior,"Developer, QA or test",Nuxt.js,2,22
junior,"Developer, QA or test",Svelte,2,23
junior,"Developer, QA or test",Fastify,2,24
junior,"Developer, QA or test",Phoenix,1,25
junior,"Developer, QA or test",Solid.js,1,26
junior,"Developer, QA or test",Drupal,1,27
junior,"Developer, back-end",React.js,402,1
junior,"Developer, back-end",Express,320,2
junior,"Developer, back-end",jQuery,308,3
junior,"Developer, back-end",Django,214,4
junior,"Developer, back-end",Angular,206,5
junior,"Developer, back-end",Node.js,183,6
junior,"Developer, back-end",Flask,174,7
junior,"Developer, back-end",ASP.NET,153,8
junior,"Developer, back-end",Vue.js,139,9
junior,"Developer, back-end",Laravel,139,10
junior,"Developer, back-end",Spring,118,11
junior,"Developer, back-end",Angular.js,101,12
junior,"Developer, back-end",ASP.NET Core ,98,13
junior,"Developer, back-end",Ruby on Rails,87,14
junior,"Developer, back-end",FastAPI,82,15
junior,"Developer, back-end",ASP.NET Core,67,16
junior,"Developer, back-end",Next.js,66,17
junior,"Developer, back-end",React,48,18
junior,"Developer, back-end",Gatsby,39,19
junior,"Developer, back-end",Symfony,34,20
junior,"Developer, back-end",Spring Boot,28,21
junior,"Developer, back-end",Blazor,16,22
junior,"Developer, back-end",Svelte,16,23
junior,"Developer, back-end",Nuxt.js,14,24
junior,"Developer, back-end",Fastify,14,25
junior,"Developer, back-end",ASP.NET CORE,12,26
junior,"Developer, back-end",Drupal,11,27
junior,"Developer, back-end",NestJS,9,28
junior,"Developer, back-end",Phoenix,7,29
junior,"Developer, back-end",AngularJS,6,30
junior,"Developer, back-end",Deno,4,31
junior,"Developer, back-end",WordPress,3,32
junior,"Developer, back-end",CodeIgniter,2,33
junior,"Developer, back-end",Play Framework,2,34
junior,"Developer, back-end",Solid.js,1,35
junior,"Developer, desktop or enterprise applications",jQuery,92,1
junior,"Developer, desktop or enterprise applications",React.js,78,2
junior,"Developer, desktop or enterprise applications",ASP.NET,69,3
junior,"Developer, desktop or enterprise applications",Angular,66,4
junior,"Developer, desktop or enterprise applications",Express,55,5
junior,"Developer, desktop or enterprise applications",Angular.js,45,6
junior,"Developer, desktop or enterprise applications",ASP.NET Core ,41,7
junior,"Developer, desktop or enterprise applications",Spring,36,8
junior,"Developer, desktop or enterprise applications",Django,35,9
junior,"Developer, desktop or enterprise applications",Vue.js,33,10
junior,"Developer, desktop or enterprise applications",ASP.NET Core,31,11
junior,"Developer, desktop or enterprise applications",Node.js,30,12
junior,"Developer, desktop or enterprise applications",Flask,27,13
junior,"Developer, desktop or enterprise applications",Laravel,20,14
junior,"Developer, desktop or enterprise applications",Blazor,12,15
junior,"Developer, desktop or enterprise applications",Ruby on Rails,12,16
junior,"Developer, desktop or enterprise applications",Next.js,11,17
junior,"Developer, desktop or enterprise applications",Gatsby,9,18
junior,"Developer, desktop or enterprise applications",ASP.NET CORE,7,19
junior,"Developer, desktop or enterprise applications",FastAPI,7,20
junior,"Developer, desktop or enterprise applications",Spring Boot,6,21
junior,"Developer, desktop or enterprise applications",Svelte,6,22
junior,"Developer, desktop or enterprise applications",AngularJS,5,23
junior,"Developer, desktop or enterprise applications",React,5,24
junior,"Developer, desktop or enterprise applications",Drupal,5,25
junior,"Developer, desktop or enterprise applications",Deno,4,26
junior,"Developer, desktop or enterprise applications",Fastify,3,27
junior,"Developer, desktop or enterprise applications",Symfony,3,28
junior,"Developer, desktop or enterprise applications",WordPress,2,29
junior,"Developer, desktop or enterprise applications",Nuxt.js,2,30
junior,"Developer, desktop or enterprise applications",NestJS,2,31
junior,"Developer, desktop or enterprise applications",Play Framework,1,32
junior,"Developer, embedded applications or devices",jQuery,30,1
junior,"Developer, embedded applications or devices",React.js,30,2
junior,"Developer, embedded applications or devices",ASP.NET,23,3
junior,"Developer, embedded applications or devices",Angular.js,19,4
junior,"Developer, embedded applications or devices",Angular,17,5
junior,"Developer, embedded applications or devices",Express,16,6
junior,"Developer, embedded applications or devices",Django,12,7
junior,"Developer, embedded applications or devices",Vue.js,11,8
junior,"Developer, embedded applications or devices",ASP.NET Core,10,9
junior,"Developer, embedded applications or devices",ASP.NET Core ,9,10
junior,"Developer, embedded applications or devices",Node.js,9,11
junior,"Developer, embedded applications or devices",Spring,7,12
junior,"Developer, embedded applications or devices",Next.js,5,13
junior,"Developer, embedded applications or devices",Laravel,5,14
