YearsGroup,DevType,Tools,Count,Rank
junior,Academic researcher,Visual Studio Code,19,1
junior,Academic researcher,Github,13,2
junior,Academic researcher,Android Studio,9,3
junior,Academic researcher,PyCharm,8,4
junior,Academic researcher,Visual Studio,7,5
junior,Academic researcher,"Google Suite (Docs, Meet, etc)",7,6
junior,Academic researcher,Jira,7,7
junior,Academic researcher,Slack,7,8
junior,Academic researcher,Sublime Text,6,9
junior,Academic researcher,IPython/Jupyter,6,10
junior,Academic researcher,Eclipse,6,11
junior,Academic researcher,Trello,6,12
junior,Academic researcher,Gitlab,5,13
junior,Academic researcher,Microsoft Teams,5,14
junior,Academic researcher,Notepad++,4,15
junior,Academic researcher,Confluence,4,16
junior,Academic researcher,Microsoft Azure,4,17
junior,Academic researcher,Xcode,3,18
junior,Academic researcher,Atom,3,19
junior,Academic researcher,IntelliJ,3,20
junior,Academic researcher,NetBeans,3,21
junior,Academic researcher,RStudio,3,22
junior,Academic researcher,GoLand,2,23
junior,Academic researcher,Vim,2,24
junior,Academic researcher,Emacs,2,25
junior,Academic researcher,Stack Overflow for Teams,2,26
junior,Academic researcher,Nano,1,27
junior,Academic researcher,"RAD Studio (Delphi, C++ Builder)",1,28
junior,Academic researcher,Facebook Workplace,1,29
junior,Blockchain,Visual Studio Code,19,1
junior,Blockchain,Visual Studio,7,2
junior,Blockchain,Notepad++,6,3
junior,Blockchain,Sublime Text,5,4
junior,Blockchain,Android Studio,5,5
junior,Blockchain,Atom,4,6
junior,Blockchain,PyCharm,4,7
junior,Blockchain,Xcode,3,8
junior,Blockchain,Vim,3,9
junior,Blockchain,Webstorm,3,10
junior,Blockchain,Nano,3,11
junior,Blockchain,IPython/Jupyter,3,12
junior,Blockchain,Neovim,3,13
junior,Blockchain,NetBeans,2,14
junior,Blockchain,Eclipse,2,15
junior,Blockchain,IntelliJ,2,16
junior,Blockchain,IntelliJ IDEA,1,17
junior,Blockchain,RStudio,1,18
junior,Cloud infrastructure engineer,Visual Studio Code,28,1
junior,Cloud infrastructure engineer,Visual Studio,10,2
junior,Cloud infrastructure engineer,PyCharm,8,3
junior,Cloud infrastructure engineer,Vim,7,4
junior,Cloud infrastructure engineer,Notepad++,6,5
junior,Cloud infrastructure engineer,Nano,6,6
junior,Cloud infrastructure engineer,Sublime Text,6,7
junior,Cloud infrastructure engineer,Android Studio,5,8
junior,Cloud infrastructure engineer,IntelliJ,4,9
junior,Cloud infrastructure engineer,Webstorm,3,10
junior,Cloud infrastructure engineer,Atom,3,11
junior,Cloud infrastructure engineer,Neovim,2,12
junior,Cloud infrastructure engineer,Xcode,2,13
junior,Cloud infrastructure engineer,Eclipse,2,14
junior,Cloud infrastructure engineer,IPython/Jupyter,2,15
junior,Cloud infrastructure engineer,RStudio,2,16
junior,Cloud infrastructure engineer,IntelliJ IDEA,1,17
junior,Cloud infrastructure engineer,Jupyter Notebook/JupyterLab,1,18
junior,Cloud infrastructure engineer,GoLand,1,19
junior,Cloud infrastructure engineer,CLion,1,20
junior,Cloud infrastructure engineer,Emacs,1,21
junior,Data or business analyst,Visual Studio Code,82,1
junior,Data or business analyst,IPython/Jupyter,45,2
junior,Data or business analyst,Github,42,3
junior,Data or business analyst,Notepad++,32,4
junior,Data or business analyst,PyCharm,30,5
junior,Data or business analyst,Visual Studio,30,6
junior,Data or business analyst,Slack,26,7
junior,Data or business analyst,Sublime Text,23,8
junior,Data or business analyst,IntelliJ,19,9
junior,Data or business analyst,Android Studio,19,10
junior,Data or business analyst,Jira,19,11
junior,Data or business analyst,RStudio,17,12
junior,Data or business analyst,Vim,16,13
junior,Data or business analyst,"Google Suite (Docs, Meet, etc)",15,14
junior,Data or business analyst,Eclipse,13,15
junior,Data or business analyst,Gitlab,13,16
junior,Data or business analyst,Microsoft Teams,12,17
junior,Data or business analyst,Trello,11,18
junior,Data or business analyst,Confluence,10,19
junior,Data or business analyst,Atom,9,20
junior,Data or business analyst,Spyder,6,21
junior,Data or business analyst,NetBeans,6,22
junior,Data or business analyst,Emacs,5,23
junior,Data or business analyst,Jupyter Notebook/JupyterLab,5,24
junior,Data or business analyst,Nano,5,25
junior,Data or business analyst,Xcode,5,26
junior,Data or business analyst,PHPStorm,5,27
junior,Data or business analyst,Microsoft Azure,5,28
junior,Data or business analyst,Neovim,4,29
junior,Data or business analyst,Webstorm,3,30
junior,Data or business analyst,Rider,3,31
junior,Data or business analyst,PhpStorm,2,32
junior,Data or business analyst,RubyMine,2,33
junior,Data or business analyst,Stack Overflow for Teams,2,34
junior,Data or business analyst,Micro,1,35
