Language,DevType,Count,Rank
APL,"Developer, back-end",67,1
APL,"Developer, full-stack",66,2
APL,"Developer, desktop or enterprise applications",38,3
APL,"Developer, front-end",37,4
APL,System administrator,26,5
APL,"Developer, mobile",22,6
APL,"Engineer, data",21,7
APL,DevOps specialist,20,8
APL,Data or business analyst,20,9
APL,"Developer, embedded applications or devices",18,10
APL,Database administrator,18,11
APL,"Senior Executive (C-Suite, VP, etc.)",16,12
APL,Data scientist or machine learning specialist,15,13
APL,Academic researcher,14,14
APL,Designer,14,15
APL,Engineering manager,14,16
APL,Project manager,14,17
APL,Other (please specify):,13,18
APL,Educator,13,19
APL,Cloud infrastructure engineer,12,20
APL,Product manager,12,21
APL,"Developer, QA or test",11,22
APL,Scientist,10,23
APL,Student,8,24
APL,"Engineer, site reliability",8,25
APL,"Developer, game or graphics",8,26
APL,Security professional,7,27
APL,Marketing or sales professional,6,28
APL,Blockchain,5,29
APL,Research & Development role,1,30
Ada,"Developer, full-stack",29,1
Ada,"Developer, back-end",25,2
Ada,"Developer, desktop or enterprise applications",11,3
Ada,"Developer, embedded applications or devices",9,4
Ada,Other (please specify):,5,5
Ada,Engineering manager,4,6
Ada,Research & Development role,3,7
Ada,"Senior Executive (C-Suite, VP, etc.)",3,8
Ada,Data scientist or machine learning specialist,3,9
Ada,DevOps specialist,3,10
Ada,Project manager,2,11
Ada,Cloud infrastructure engineer,2,12
Ada,"Developer, mobile",1,13
Ada,"Developer, front-end",1,14
Ada,Developer Advocate,1,15
Ada,Security professional,1,16
Ada,Designer,1,17
Ada,Student,1,18
Ada,"Engineer, data",1,19
Ada,Blockchain,1,20
Apex,"Developer, full-stack",72,1
Apex,"Developer, back-end",28,2
Apex,"Developer, desktop or enterprise applications",12,3
Apex,Database administrator,8,4
Apex,Engineering manager,8,5
Apex,Other (please specify):,8,6
Apex,"Senior Executive (C-Suite, VP, etc.)",5,7
Apex,DevOps specialist,5,8
Apex,Product manager,4,9
Apex,"Developer, front-end",4,10
Apex,"Engineer, data",3,11
Apex,"Developer, mobile",3,12
Apex,Research & Development role,2,13
Apex,"Engineer, site reliability",2,14
Apex,Project manager,2,15
Apex,Blockchain,2,16
Apex,Developer Advocate,2,17
Apex,System administrator,1,18
Apex,Data or business analyst,1,19
Apex,Student,1,20
Apex,Data scientist or machine learning specialist,1,21
Apex,Cloud infrastructure engineer,1,22
Apex,"Developer, embedded applications or devices",1,23
Assembly,"Developer, full-stack",1503,1
Assembly,"Developer, back-end",1465,2
Assembly,"Developer, desktop or enterprise applications",814,3
Assembly,"Developer, front-end",749,4
Assembly,"Developer, embedded applications or devices",672,5
Assembly,"Developer, mobile",528,6
Assembly,DevOps specialist,424,7
Assembly,System administrator,413,8
Assembly,Database administrator,375,9
Assembly,Designer,269,10
Assembly,"Engineer, data",257,11
Assembly,Data scientist or machine learning specialist,256,12
Assembly,"Developer, QA or test",255,13
Assembly,"Developer, game or graphics",250,14
Assembly,Academic researcher,238,15
Assembly,Engineering manager,229,16
Assembly,Educator,197,17
Assembly,Scientist,190,18
Assembly,Data or business analyst,185,19
Assembly,Student,167,20
Assembly,Product manager,164,21
Assembly,"Engineer, site reliability",155,22
Assembly,Cloud infrastructure engineer,117,23
Assembly,Other (please specify):,114,24
Assembly,"Senior Executive (C-Suite, VP, etc.)",100,25
Assembly,Security professional,91,26
Assembly,Project manager,73,27
Assembly,Senior executive/VP,57,28
Assembly,Blockchain,32,29
Assembly,Research & Development role,26,30
Assembly,Marketing or sales professional,26,31
Assembly,Hardware Engineer,13,32
Assembly,Developer Experience,5,33
Assembly,Developer Advocate,1,34
Bash/Shell,"Developer, back-end",7813,1
Bash/Shell,"Developer, full-stack",7765,2
Bash/Shell,"Developer, front-end",3409,3
Bash/Shell,DevOps specialist,3270,4
Bash/Shell,"Developer, desktop or enterprise applications",2004,5
Bash/Shell,System administrator,1863,6
Bash/Shell,Database administrator,1567,7
Bash/Shell,"Developer, mobile",1449,8
Bash/Shell,Cloud infrastructure engineer,1447,9
Bash/Shell,"Engineer, data",1436,10
Bash/Shell,Engineering manager,1283,11
Bash/Shell,"Engineer, site reliability",1182,12
Bash/Shell,"Developer, QA or test",1004,13
Bash/Shell,Data scientist or machine learning specialist,983,14
Bash/Shell,"Developer, embedded applications or devices",943,15
Bash/Shell,Data or business analyst,831,16
Bash/Shell,Designer,737,17
Bash/Shell,Product manager,662,18
Bash/Shell,Other (please specify):,620,19
Bash/Shell,"Senior Executive (C-Suite, VP, etc.)",579,20
Bash/Shell,Educator,498,21
Bash/Shell,Project manager,489,22
Bash/Shell,Academic researcher,402,23
Bash/Shell,Security professional,362,24
Bash/Shell,"Developer, game or graphics",330,25
Bash/Shell,Student,317,26
Bash/Shell,Scientist,279,27
Bash/Shell,Blockchain,159,28
Bash/Shell,Marketing or sales professional,105,29
Bash/Shell (all shells),"Developer, full-stack",3550,1
Bash/Shell (all shells),"Developer, back-end",2240,2
Bash/Shell (all shells),DevOps specialist,425,3
Bash/Shell (all shells),Engineering manager,359,4
Bash/Shell (all shells),Cloud infrastructure engineer,324,5
Bash/Shell (all shells),"Engineer, data",313,6
Bash/Shell (all shells),Other (please specify):,311,7
Bash/Shell (all shells),"Developer, front-end",303,8
Bash/Shell (all shells),"Developer, desktop or enterprise applications",265,9
Bash/Shell (all shells),"Senior Executive (C-Suite, VP, etc.)",219,10
Bash/Shell (all shells),Data scientist or machine learning specialist,217,11
Bash/Shell (all shells),"Developer, embedded applications or devices",172,12
Bash/Shell (all shells),"Developer, mobile",151,13
Bash/Shell (all shells),"Engineer, site reliability",150,14
Bash/Shell (all shells),Research & Development role,125,15
Bash/Shell (all shells),Security professional,89,16
Bash/Shell (all shells),System administrator,84,17
Bash/Shell (all shells),"Developer, QA or test",69,18
Bash/Shell (all shells),Developer Experience,62,19
Bash/Shell (all shells),Data or business analyst,47,20
Bash/Shell (all shells),Academic researcher,43,21
Bash/Shell (all shells),Product manager,41,22
Bash/Shell (all shells),Project manager,41,23
Bash/Shell (all shells),"Developer, game or graphics",39,24
Bash/Shell (all shells),Blockchain,38,25
Bash/Shell (all shells),Database administrator,32,26
Bash/Shell (all shells),Educator,21,27
Bash/Shell (all shells),Developer Advocate,18,28
Bash/Shell (all shells),Hardware Engineer,16,29
Bash/Shell (all shells),Designer,11,30
Bash/Shell (all shells),Scientist,10,31
Bash/Shell (all shells),Student,5,32
Bash/Shell (all shells),Marketing or sales professional,5,33
Bash/Shell/PowerShell,"Developer, back-end",6400,1
Bash/Shell/PowerShell,"Developer, full-stack",6046,2
Bash/Shell/PowerShell,"Developer, front-end",3328,3
Bash/Shell/PowerShell,"Developer, desktop or enterprise applications",2564,4
Bash/Shell/PowerShell,DevOps specialist,2367,5
