,LanguageHaveWorkedWith,AverageSalary
0,OCaml,2661372.9031477
1,SAS,2547688.212723658
2,APL,2295054.0036101085
3,Fortran,2199190.3732394367
4,COBOL,1446567.3475609757
5,Crystal,1271259.243697479
6,LISP,1019088.5312907432
7,Ada,928229.6261682243
8,Solidity,830094.7877813504
9,Julia,815340.2479484173
10,Cobol,780069.2049180327
11,Erlang,711233.9557933923
12,F#,668064.9090909091
13,Prolog,546686.0503144654
14,MATLAB,515312.9767907163
15,Lua,481662.2661498708
16,Delphi,439722.68800194695
17,Haskell,412318.50116852764
18,Groovy,368533.0633263744
19,Lisp,361211.2345276873
20,Perl,329318.6433041302
21,Objective-C,286617.9800082867
22,Scala,286098.7645219847
23,Assembly,250911.1935483871
24,Rust,233944.93013624632
25,R,229491.46463414634
26,Clojure,217985.04545454544
27,VBA,215513.57556846712
28,PowerShell,213903.27827927785
29,Bash/Shell,207009.47433989053
30,Go,203188.01580339088
31,WebAssembly,192636.9581589958
32,Elixir,187375.6533996683
33,Kotlin,180247.4883804558
34,Ruby,178224.53690437676
35,Flow,165677.21739130435
36,Swift,160496.753201559
37,C,157116.7025402314
38,C++,156519.15109343937
39,Visual Basic (.Net),148491.43129770993
40,Python,147372.9264536611
41,C#,146518.14317175315
42,TypeScript,144878.2148024085
43,Raku,144309.24
44,Java,140730.59639430066
45,SQL,137932.91195503407
46,Zig,132704.67142857143
47,JavaScript,131192.61707420938
48,HTML/CSS,127079.82199959189
49,Node.js,124346.39808906558
50,Bash/Shell/PowerShell,123568.622610851
51,PHP,115700.25621576064
52,Bash/Shell (all shells),111494.51517318892
53,Other(s):,111324.72591671845
54,Apex,107214.14285714286
55,Nim,103851.5294117647
56,Dart,95797.35618184393
57,GDScript,93208.27491408934
58,Matlab,92574.75412026726
