YearsGroup,DevType,Webframe,Count,Rank
middle,Academic researcher,React.js,108,1
middle,Academic researcher,jQuery,100,2
middle,Academic researcher,Flask,80,3
middle,Academic researcher,Django,76,4
middle,Academic researcher,Express,73,5
middle,Academic researcher,Angular,66,6
middle,Academic researcher,Vue.js,58,7
middle,Academic researcher,Laravel,47,8
middle,Academic researcher,Angular.js,36,9
middle,Academic researcher,ASP.NET,34,10
middle,Academic researcher,Spring,30,11
middle,Academic researcher,Node.js,29,12
middle,Academic researcher,FastAPI,24,13
middle,Academic researcher,Ruby on Rails,24,14
middle,Academic researcher,ASP.NET Core ,15,15
middle,Academic researcher,ASP.NET Core,15,16
middle,Academic researcher,Gatsby,10,17
middle,Academic researcher,Symfony,10,18
middle,Academic researcher,Next.js,9,19
middle,Academic researcher,Drupal,7,20
middle,Academic researcher,Svelte,7,21
middle,Academic researcher,WordPress,7,22
middle,Academic researcher,React,6,23
middle,Academic researcher,Nuxt.js,6,24
middle,Academic researcher,Spring Boot,5,25
middle,Academic researcher,Deno,3,26
middle,Academic researcher,Phoenix,3,27
middle,Academic researcher,NestJS,2,28
middle,Academic researcher,Play Framework,2,29
middle,Academic researcher,Blazor,2,30
middle,Academic researcher,AngularJS,1,31
middle,Academic researcher,ASP.NET CORE,1,32
middle,Academic researcher,Fastify,1,33
middle,Blockchain,Node.js,59,1
middle,Blockchain,React.js,48,2
middle,Blockchain,Express,36,3
middle,Blockchain,Next.js,32,4
middle,Blockchain,Vue.js,23,5
middle,Blockchain,jQuery,21,6
middle,Blockchain,Django,21,7
middle,Blockchain,Angular,20,8
middle,Blockchain,Flask,18,9
middle,Blockchain,ASP.NET Core ,11,10
middle,Blockchain,Laravel,11,11
middle,Blockchain,FastAPI,10,12
middle,Blockchain,ASP.NET,8,13
middle,Blockchain,Angular.js,8,14
middle,Blockchain,Nuxt.js,8,15
middle,Blockchain,Svelte,7,16
middle,Blockchain,React,6,17
middle,Blockchain,Gatsby,6,18
middle,Blockchain,Blazor,4,19
middle,Blockchain,NestJS,3,20
middle,Blockchain,Ruby on Rails,3,21
middle,Blockchain,Phoenix,3,22
middle,Blockchain,Deno,2,23
middle,Blockchain,Symfony,2,24
middle,Blockchain,AngularJS,1,25
middle,Blockchain,Remix,1,26
middle,Blockchain,Drupal,1,27
middle,Blockchain,Play Framework,1,28
middle,Cloud infrastructure engineer,Node.js,110,1
middle,Cloud infrastructure engineer,React.js,92,2
middle,Cloud infrastructure engineer,Express,77,3
middle,Cloud infrastructure engineer,Flask,68,4
middle,Cloud infrastructure engineer,Django,58,5
middle,Cloud infrastructure engineer,Angular,54,6
middle,Cloud infrastructure engineer,Vue.js,50,7
middle,Cloud infrastructure engineer,Next.js,41,8
middle,Cloud infrastructure engineer,jQuery,40,9
middle,Cloud infrastructure engineer,ASP.NET Core ,36,10
middle,Cloud infrastructure engineer,FastAPI,32,11
middle,Cloud infrastructure engineer,ASP.NET,27,12
middle,Cloud infrastructure engineer,Laravel,21,13
middle,Cloud infrastructure engineer,Angular.js,19,14
middle,Cloud infrastructure engineer,Nuxt.js,17,15
middle,Cloud infrastructure engineer,Svelte,17,16
middle,Cloud infrastructure engineer,Blazor,10,17
middle,Cloud infrastructure engineer,Fastify,9,18
middle,Cloud infrastructure engineer,React,8,19
middle,Cloud infrastructure engineer,Gatsby,8,20
middle,Cloud infrastructure engineer,Symfony,7,21
middle,Cloud infrastructure engineer,Deno,6,22
middle,Cloud infrastructure engineer,Phoenix,6,23
middle,Cloud infrastructure engineer,Drupal,5,24
middle,Cloud infrastructure engineer,ASP.NET CORE,4,25
middle,Cloud infrastructure engineer,Spring Boot,4,26
middle,Cloud infrastructure engineer,Ruby on Rails,4,27
middle,Cloud infrastructure engineer,WordPress,3,28
middle,Cloud infrastructure engineer,Play Framework,3,29
middle,Cloud infrastructure engineer,AngularJS,2,30
middle,Cloud infrastructure engineer,CodeIgniter,1,31
middle,Cloud infrastructure engineer,NestJS,1,32
middle,Data or business analyst,Flask,167,1
middle,Data or business analyst,React.js,157,2
middle,Data or business analyst,jQuery,156,3
middle,Data or business analyst,Django,154,4
middle,Data or business analyst,Express,89,5
middle,Data or business analyst,Angular,78,6
middle,Data or business analyst,ASP.NET,68,7
middle,Data or business analyst,Vue.js,68,8
middle,Data or business analyst,Node.js,57,9
middle,Data or business analyst,Angular.js,48,10
middle,Data or business analyst,Laravel,42,11
middle,Data or business analyst,FastAPI,40,12
middle,Data or business analyst,ASP.NET Core ,34,13
middle,Data or business analyst,ASP.NET Core,33,14
middle,Data or business analyst,Spring,30,15
middle,Data or business analyst,Next.js,22,16
middle,Data or business analyst,Gatsby,19,17
middle,Data or business analyst,Svelte,14,18
middle,Data or business analyst,Ruby on Rails,14,19
middle,Data or business analyst,React,9,20
middle,Data or business analyst,WordPress,7,21
middle,Data or business analyst,Symfony,7,22
middle,Data or business analyst,Drupal,6,23
middle,Data or business analyst,Blazor,5,24
middle,Data or business analyst,Nuxt.js,4,25
middle,Data or business analyst,ASP.NET CORE,3,26
middle,Data or business analyst,Fastify,3,27
middle,Data or business analyst,AngularJS,2,28
middle,Data or business analyst,Spring Boot,2,29
middle,Data or business analyst,Phoenix,2,30
middle,Data or business analyst,Lit,1,31
middle,Data or business analyst,Play Framework,1,32
middle,Data or business analyst,Deno,1,33
middle,Data scientist or machine learning specialist,Flask,329,1
middle,Data scientist or machine learning specialist,Django,209,2
middle,Data scientist or machine learning specialist,React.js,156,3
middle,Data scientist or machine learning specialist,jQuery,138,4
middle,Data scientist or machine learning specialist,FastAPI,124,5
middle,Data scientist or machine learning specialist,Express,87,6
middle,Data scientist or machine learning specialist,Vue.js,75,7
middle,Data scientist or machine learning specialist,Angular,74,8
middle,Data scientist or machine learning specialist,Node.js,59,9
middle,Data scientist or machine learning specialist,ASP.NET,55,10
middle,Data scientist or machine learning specialist,Angular.js,48,11
middle,Data scientist or machine learning specialist,Spring,41,12
middle,Data scientist or machine learning specialist,Laravel,36,13
middle,Data scientist or machine learning specialist,ASP.NET Core ,27,14
middle,Data scientist or machine learning specialist,ASP.NET Core,23,15
middle,Data scientist or machine learning specialist,Next.js,20,16
middle,Data scientist or machine learning specialist,Ruby on Rails,19,17
middle,Data scientist or machine learning specialist,React,16,18
middle,Data scientist or machine learning specialist,Gatsby,15,19
middle,Data scientist or machine learning specialist,Symfony,12,20
middle,Data scientist or machine learning specialist,Svelte,11,21
