YearsGroup,DevType,Platform,Count,Rank
middle,Academic researcher,AWS,145,1
middle,Academic researcher,Linux,131,2
middle,Academic researcher,Windows,107,3
middle,Academic researcher,Heroku,98,4
middle,Academic researcher,Docker,77,5
middle,Academic researcher,Microsoft Azure,71,6
middle,Academic researcher,Google Cloud Platform,69,7
middle,Academic researcher,Android,61,8
middle,Academic researcher,MacOS,42,9
middle,Academic researcher,Arduino,38,10
middle,Academic researcher,WordPress,34,11
middle,Academic researcher,DigitalOcean,29,12
middle,Academic researcher,Google Cloud,27,13
middle,Academic researcher,Raspberry Pi,27,14
middle,Academic researcher,iOS,20,15
middle,Academic researcher,Firebase,19,16
middle,Academic researcher,IBM Cloud or Watson,18,17
middle,Academic researcher,Kubernetes,16,18
middle,Academic researcher,Slack Apps and Integrations,14,19
middle,Academic researcher,Amazon Web Services (AWS),9,20
middle,Academic researcher,VMware,6,21
middle,Academic researcher,Slack,6,22
middle,Academic researcher,Oracle Cloud Infrastructure,5,23
middle,Academic researcher,OpenStack,4,24
middle,Academic researcher,Managed Hosting,4,25
middle,Academic researcher,OVH,3,26
middle,Academic researcher,Linode,3,27
middle,Academic researcher,Vercel,2,28
middle,Academic researcher,Colocation,2,29
middle,Academic researcher,Other(s):,2,30
middle,Academic researcher,Oracle Cloud Infrastructure (OCI),1,31
middle,Academic researcher,"Linode, now Akamai",1,32
middle,Academic researcher,Fly.io,1,33
middle,Academic researcher,Vultr,1,34
middle,Academic researcher,Netlify,1,35
middle,Academic researcher,Digital Ocean,1,36
middle,Academic researcher,Cloudflare,1,37
middle,Blockchain,AWS,49,1
middle,Blockchain,Google Cloud,34,2
middle,Blockchain,Heroku,27,3
middle,Blockchain,Firebase,24,4
middle,Blockchain,DigitalOcean,22,5
middle,Blockchain,Microsoft Azure,20,6
middle,Blockchain,Amazon Web Services (AWS),10,7
middle,Blockchain,VMware,7,8
middle,Blockchain,IBM Cloud or Watson,4,9
middle,Blockchain,Linode,4,10
middle,Blockchain,OpenStack,4,11
middle,Blockchain,Digital Ocean,3,12
middle,Blockchain,Cloudflare,3,13
middle,Blockchain,Managed Hosting,3,14
middle,Blockchain,OVH,3,15
middle,Blockchain,Hetzner,2,16
middle,Blockchain,Oracle Cloud Infrastructure,2,17
middle,Blockchain,Colocation,2,18
middle,Blockchain,Vercel,1,19
middle,Blockchain,IBM Cloud Or Watson,1,20
middle,Cloud infrastructure engineer,AWS,163,1
middle,Cloud infrastructure engineer,Google Cloud,101,2
middle,Cloud infrastructure engineer,Microsoft Azure,96,3
middle,Cloud infrastructure engineer,Heroku,49,4
middle,Cloud infrastructure engineer,Firebase,43,5
middle,Cloud infrastructure engineer,DigitalOcean,41,6
middle,Cloud infrastructure engineer,VMware,33,7
middle,Cloud infrastructure engineer,Amazon Web Services (AWS),25,8
middle,Cloud infrastructure engineer,Linode,16,9
middle,Cloud infrastructure engineer,OVH,12,10
middle,Cloud infrastructure engineer,OpenStack,12,11
middle,Cloud infrastructure engineer,Cloudflare,11,12
middle,Cloud infrastructure engineer,Managed Hosting,10,13
middle,Cloud infrastructure engineer,Oracle Cloud Infrastructure,9,14
middle,Cloud infrastructure engineer,Colocation,6,15
middle,Cloud infrastructure engineer,Digital Ocean,5,16
middle,Cloud infrastructure engineer,IBM Cloud or Watson,5,17
middle,Cloud infrastructure engineer,"Linode, now Akamai",4,18
middle,Cloud infrastructure engineer,Hetzner,3,19
middle,Cloud infrastructure engineer,Netlify,3,20
middle,Cloud infrastructure engineer,Fly.io,2,21
middle,Cloud infrastructure engineer,Vercel,2,22
middle,Cloud infrastructure engineer,Oracle Cloud Infrastructure (OCI),2,23
middle,Cloud infrastructure engineer,OpenShift,2,24
middle,Cloud infrastructure engineer,IBM Cloud Or Watson,1,25
middle,Cloud infrastructure engineer,Scaleway,1,26
middle,Data or business analyst,AWS,254,1
middle,Data or business analyst,Microsoft Azure,211,2
middle,Data or business analyst,Windows,187,3
middle,Data or business analyst,Linux,142,4
middle,Data or business analyst,Google Cloud Platform,128,5
middle,Data or business analyst,Heroku,121,6
middle,Data or business analyst,Docker,81,7
middle,Data or business analyst,Google Cloud,61,8
middle,Data or business analyst,MacOS,51,9
middle,Data or business analyst,Android,45,10
middle,Data or business analyst,DigitalOcean,41,11
middle,Data or business analyst,WordPress,41,12
middle,Data or business analyst,Raspberry Pi,38,13
middle,Data or business analyst,Firebase,37,14
middle,Data or business analyst,Arduino,27,15
middle,Data or business analyst,iOS,21,16
middle,Data or business analyst,Kubernetes,21,17
middle,Data or business analyst,Slack Apps and Integrations,19,18
middle,Data or business analyst,IBM Cloud or Watson,18,19
middle,Data or business analyst,Amazon Web Services (AWS),16,20
middle,Data or business analyst,VMware,14,21
middle,Data or business analyst,Oracle Cloud Infrastructure,11,22
middle,Data or business analyst,Slack,9,23
middle,Data or business analyst,Digital Ocean,6,24
middle,Data or business analyst,OpenStack,5,25
middle,Data or business analyst,Linode,5,26
middle,Data or business analyst,OVH,4,27
middle,Data or business analyst,"Linode, now Akamai",2,28
middle,Data or business analyst,IBM Cloud Or Watson,2,29
middle,Data or business analyst,Netlify,2,30
middle,Data or business analyst,Render,1,31
middle,Data or business analyst,Cloudflare,1,32
middle,Data or business analyst,Hetzner,1,33
middle,Data or business analyst,Fly.io,1,34
middle,Data or business analyst,Vercel,1,35
middle,Data or business analyst,Managed Hosting,1,36
middle,Data or business analyst,Colocation,1,37
middle,Data scientist or machine learning specialist,AWS,356,1
middle,Data scientist or machine learning specialist,Microsoft Azure,251,2
middle,Data scientist or machine learning specialist,Linux,214,3
middle,Data scientist or machine learning specialist,Google Cloud Platform,181,4
middle,Data scientist or machine learning specialist,Windows,166,5
middle,Data scientist or machine learning specialist,Heroku,164,6
middle,Data scientist or machine learning specialist,Docker,150,7
middle,Data scientist or machine learning specialist,Google Cloud,101,8
middle,Data scientist or machine learning specialist,MacOS,86,9
middle,Data scientist or machine learning specialist,Amazon Web Services (AWS),66,10
middle,Data scientist or machine learning specialist,Android,59,11
middle,Data scientist or machine learning specialist,DigitalOcean,53,12
middle,Data scientist or machine learning specialist,Raspberry Pi,48,13
middle,Data scientist or machine learning specialist,Kubernetes,44,14
middle,Data scientist or machine learning specialist,Arduino,41,15
middle,Data scientist or machine learning specialist,WordPress,38,16
middle,Data scientist or machine learning specialist,Firebase,36,17
middle,Data scientist or machine learning specialist,IBM Cloud or Watson,26,18
middle,Data scientist or machine learning specialist,Slack Apps and Integrations,25,19
middle,Data scientist or machine learning specialist,VMware,18,20
middle,Data scientist or machine learning specialist,iOS,14,21
middle,Data scientist or machine learning specialist,Slack,10,22
