YearsGroup,DevType,Tools,Count,Rank
middle,Academic researcher,Github,120,1
middle,Academic researcher,Visual Studio Code,112,2
middle,Academic researcher,Slack,81,3
middle,Academic researcher,"Google Suite (Docs, Meet, etc)",64,4
middle,Academic researcher,Gitlab,64,5
middle,Academic researcher,PyCharm,55,6
middle,Academic researcher,IPython/Jupyter,53,7
middle,Academic researcher,Visual Studio,50,8
middle,Academic researcher,Trello,48,9
middle,Academic researcher,Jira,43,10
middle,Academic researcher,IntelliJ,41,11
middle,Academic researcher,Android Studio,40,12
middle,Academic researcher,Sublime Text,40,13
middle,Academic researcher,Vim,33,14
middle,Academic researcher,Notepad++,33,15
middle,Academic researcher,Eclipse,25,16
middle,Academic researcher,Atom,23,17
middle,Academic researcher,Microsoft Teams,21,18
middle,Academic researcher,RStudio,20,19
middle,Academic researcher,Confluence,19,20
middle,Academic researcher,Xcode,17,21
middle,Academic researcher,Webstorm,17,22
middle,Academic researcher,Microsoft Azure,17,23
middle,Academic researcher,Stack Overflow for Teams,14,24
middle,Academic researcher,Neovim,13,25
middle,Academic researcher,NetBeans,13,26
middle,Academic researcher,Emacs,9,27
middle,Academic researcher,Nano,8,28
middle,Academic researcher,Jupyter Notebook/JupyterLab,7,29
middle,Academic researcher,CLion,6,30
middle,Academic researcher,PHPStorm,6,31
middle,Academic researcher,Facebook Workplace,6,32
middle,Academic researcher,Spyder,5,33
middle,Academic researcher,IntelliJ IDEA,5,34
middle,Academic researcher,PhpStorm,5,35
middle,Academic researcher,Qt Creator,4,36
middle,Academic researcher,Rider,4,37
middle,Academic researcher,IPython,3,38
middle,Academic researcher,Helix,2,39
middle,Academic researcher,Goland,2,40
middle,Academic researcher,TextMate,2,41
middle,Academic researcher,GoLand,2,42
middle,Academic researcher,DataGrip,1,43
middle,Academic researcher,WebStorm,1,44
middle,Academic researcher,Fleet,1,45
middle,Academic researcher,"RAD Studio (Delphi, C++ Builder)",1,46
middle,Academic researcher,RubyMine,1,47
middle,Blockchain,Visual Studio Code,78,1
middle,Blockchain,Vim,22,2
middle,Blockchain,Android Studio,18,3
middle,Blockchain,Visual Studio,16,4
middle,Blockchain,Nano,15,5
middle,Blockchain,IntelliJ,14,6
middle,Blockchain,Neovim,13,7
middle,Blockchain,Sublime Text,13,8
middle,Blockchain,Eclipse,12,9
middle,Blockchain,Xcode,11,10
middle,Blockchain,PyCharm,11,11
middle,Blockchain,IPython/Jupyter,11,12
middle,Blockchain,Notepad++,10,13
middle,Blockchain,Webstorm,9,14
middle,Blockchain,Atom,8,15
middle,Blockchain,Emacs,7,16
middle,Blockchain,PhpStorm,6,17
middle,Blockchain,CLion,3,18
middle,Blockchain,GoLand,3,19
middle,Blockchain,NetBeans,3,20
middle,Blockchain,VSCodium,2,21
middle,Blockchain,Rider,2,22
middle,Blockchain,Qt Creator,2,23
middle,Blockchain,Jupyter Notebook/JupyterLab,1,24
middle,Blockchain,DataGrip,1,25
middle,Blockchain,Goland,1,26
middle,Blockchain,Kate,1,27
middle,Blockchain,IntelliJ IDEA,1,28
middle,Blockchain,WebStorm,1,29
middle,Blockchain,"RAD Studio (Delphi, C++ Builder)",1,30
middle,Blockchain,Spyder,1,31
middle,Blockchain,RStudio,1,32
middle,Blockchain,BBEdit,1,33
middle,Cloud infrastructure engineer,Visual Studio Code,192,1
middle,Cloud infrastructure engineer,Vim,83,2
middle,Cloud infrastructure engineer,PyCharm,64,3
middle,Cloud infrastructure engineer,Visual Studio,62,4
middle,Cloud infrastructure engineer,Notepad++,56,5
middle,Cloud infrastructure engineer,IntelliJ,56,6
middle,Cloud infrastructure engineer,Android Studio,42,7
middle,Cloud infrastructure engineer,IPython/Jupyter,41,8
middle,Cloud infrastructure engineer,Sublime Text,40,9
middle,Cloud infrastructure engineer,Nano,37,10
middle,Cloud infrastructure engineer,Neovim,29,11
middle,Cloud infrastructure engineer,Webstorm,24,12
middle,Cloud infrastructure engineer,Atom,23,13
middle,Cloud infrastructure engineer,Eclipse,22,14
middle,Cloud infrastructure engineer,Xcode,21,15
middle,Cloud infrastructure engineer,GoLand,19,16
middle,Cloud infrastructure engineer,CLion,15,17
middle,Cloud infrastructure engineer,PhpStorm,14,18
middle,Cloud infrastructure engineer,RStudio,12,19
middle,Cloud infrastructure engineer,Emacs,12,20
middle,Cloud infrastructure engineer,Spyder,12,21
middle,Cloud infrastructure engineer,IntelliJ IDEA,11,22
middle,Cloud infrastructure engineer,Rider,10,23
middle,Cloud infrastructure engineer,Jupyter Notebook/JupyterLab,8,24
middle,Cloud infrastructure engineer,NetBeans,8,25
middle,Cloud infrastructure engineer,Qt Creator,6,26
middle,Cloud infrastructure engineer,VSCodium,5,27
middle,Cloud infrastructure engineer,DataGrip,3,28
middle,Cloud infrastructure engineer,RubyMine,2,29
middle,Cloud infrastructure engineer,Helix,2,30
middle,Cloud infrastructure engineer,IPython,1,31
middle,Cloud infrastructure engineer,WebStorm,1,32
middle,Cloud infrastructure engineer,Goland,1,33
middle,Cloud infrastructure engineer,Kate,1,34
middle,Cloud infrastructure engineer,Netbeans,1,35
middle,Cloud infrastructure engineer,TextMate,1,36
middle,Data or business analyst,Visual Studio Code,238,1
middle,Data or business analyst,Github,150,2
middle,Data or business analyst,IPython/Jupyter,117,3
middle,Data or business analyst,PyCharm,96,4
middle,Data or business analyst,Slack,95,5
