Platform,DevType,Count,Rank
AWS,"Developer, full-stack",20976,1
AWS,"Developer, back-end",20059,2
AWS,"Developer, front-end",9759,3
AWS,DevOps specialist,5857,4
AWS,"Developer, desktop or enterprise applications",4795,5
AWS,"Developer, mobile",4614,6
AWS,Database administrator,3406,7
AWS,System administrator,3303,8
AWS,"Engineer, data",3199,9
AWS,Engineering manager,3140,10
AWS,Data scientist or machine learning specialist,2493,11
AWS,"Engineer, site reliability",2119,12
AWS,"Developer, QA or test",2103,13
AWS,Data or business analyst,1958,14
AWS,Cloud infrastructure engineer,1957,15
AWS,Designer,1845,16
AWS,"Developer, embedded applications or devices",1826,17
AWS,Product manager,1705,18
AWS,Educator,1128,19
AWS,"Senior Executive (C-Suite, VP, etc.)",1039,20
AWS,Academic researcher,956,21
AWS,"Developer, game or graphics",910,22
AWS,Other (please specify):,876,23
AWS,Project manager,713,24
AWS,Scientist,703,25
AWS,Student,593,26
AWS,Security professional,401,27
AWS,Senior executive/VP,343,28
AWS,Blockchain,317,29
AWS,Marketing or sales professional,261,30
Amazon Web Services (AWS),"Developer, full-stack",6331,1
Amazon Web Services (AWS),"Developer, back-end",4224,2
Amazon Web Services (AWS),"Developer, front-end",713,3
Amazon Web Services (AWS),Engineering manager,620,4
Amazon Web Services (AWS),"Engineer, data",438,5
Amazon Web Services (AWS),Other (please specify):,428,6
Amazon Web Services (AWS),DevOps specialist,417,7
Amazon Web Services (AWS),Cloud infrastructure engineer,387,8
Amazon Web Services (AWS),"Senior Executive (C-Suite, VP, etc.)",369,9
Amazon Web Services (AWS),"Developer, desktop or enterprise applications",368,10
Amazon Web Services (AWS),Data scientist or machine learning specialist,356,11
Amazon Web Services (AWS),"Developer, mobile",321,12
Amazon Web Services (AWS),Research & Development role,180,13
Amazon Web Services (AWS),"Developer, embedded applications or devices",162,14
Amazon Web Services (AWS),"Engineer, site reliability",155,15
Amazon Web Services (AWS),"Developer, QA or test",105,16
Amazon Web Services (AWS),Security professional,97,17
Amazon Web Services (AWS),Data or business analyst,84,18
Amazon Web Services (AWS),Developer Experience,83,19
Amazon Web Services (AWS),Product manager,80,20
Amazon Web Services (AWS),"Developer, game or graphics",75,21
