,PlatformHaveWorkedWith,AverageSalary
0,Colocation,7544561.615364217
1,Linode,5707414.446185008
2,OpenStack,5265769.648255814
3,Oracle Cloud Infrastructure,5033749.441075126
4,OVH,3855590.453440881
5,Managed Hosting,3175212.447807948
6,IBM Cloud or Watson,2714118.0183131327
7,VMware,2250787.2847204297
8,Firebase,1313435.4130003653
9,Google Cloud,1032133.6756968972
10,Heroku,667089.9589514431
11,Microsoft Azure,501004.8436369496
12,AWS,403023.01919154386
13,Slack,212761.48053677977
14,DigitalOcean,207269.45370640466
15,Cloudflare,207215.7936253668
16,Kubernetes,153816.29821837056
17,Google Cloud Platform,153126.7813230618
18,Slack Apps and Integrations,152056.9905753012
19,Scaleway,149823.0741690165
20,Render,149679.1775564523
21,Fly.io,148163.56092201234
22,iOS,147857.1497503072
23,Vultr,144757.80643904972
24,Amazon Web Services (AWS),143222.77877864582
25,Raspberry Pi,142864.92140462805
26,MacOS,140229.65322693592
27,Docker,129314.22574430131
28,Oracle Cloud Infrastructure (OCI),125960.56884343037
29,Other(s):,123814.97577266379
30,WordPress,123475.29751702098
31,IBM Cloud Or Watson,122431.17259019925
32,OpenShift,120746.12883242665
33,"Linode, now Akamai",120478.78415985762
34,Linux,118748.66789377124
35,Android,118660.60399322172
36,Arduino,116714.59702242739
37,Windows,115828.8224140062
38,Hetzner,111516.2315180551
39,Digital Ocean,102408.85921809183
40,Vercel,97579.57396164595
41,Netlify,96894.62970234326
