YearsGroup,DevType,Database,Count,Rank
senior,Academic researcher,MySQL,1113,1
senior,Academic researcher,PostgreSQL,1000,2
senior,Academic researcher,SQLite,969,3
senior,Academic researcher,MongoDB,644,4
senior,Academic researcher,Microsoft SQL Server,491,5
senior,Academic researcher,MariaDB,472,6
senior,Academic researcher,Redis,433,7
senior,Academic researcher,Elasticsearch,340,8
senior,Academic researcher,Oracle,294,9
senior,Academic researcher,Firebase,235,10
senior,Academic researcher,DynamoDB,132,11
senior,Academic researcher,Cassandra,102,12
senior,Academic researcher,Couchbase,55,13
senior,Academic researcher,IBM DB2,46,14
senior,Academic researcher,Other(s):,42,15
senior,Academic researcher,Firebase Realtime Database,25,16
senior,Academic researcher,Cloud Firestore,19,17
senior,Academic researcher,Neo4j,19,18
senior,Academic researcher,CouchDB,10,19
senior,Academic researcher,InfluxDB,8,20
senior,Academic researcher,DuckDB,5,21
senior,Academic researcher,Microsoft Access,4,22
senior,Academic researcher,Neo4J,3,23
senior,Academic researcher,H2,2,24
senior,Academic researcher,Dynamodb,2,25
senior,Academic researcher,Snowflake,1,26
senior,Academic researcher,Couch DB,1,27
senior,Academic researcher,Cosmos DB,1,28
senior,Academic researcher,Supabase,1,29
senior,Blockchain,PostgreSQL,301,1
senior,Blockchain,Redis,174,2
senior,Blockchain,MongoDB,173,3
senior,Blockchain,MySQL,173,4
senior,Blockchain,SQLite,139,5
senior,Blockchain,MariaDB,91,6
senior,Blockchain,Elasticsearch,89,7
senior,Blockchain,DynamoDB,68,8
senior,Blockchain,Microsoft SQL Server,64,9
senior,Blockchain,Firebase Realtime Database,43,10
senior,Blockchain,Cloud Firestore,41,11
senior,Blockchain,Oracle,39,12
senior,Blockchain,Neo4j,21,13
senior,Blockchain,CouchDB,19,14
senior,Blockchain,Cassandra,17,15
senior,Blockchain,Dynamodb,14,16
senior,Blockchain,Couchbase,11,17
senior,Blockchain,IBM DB2,9,18
senior,Blockchain,H2,7,19
senior,Blockchain,BigQuery,6,20
senior,Blockchain,Cockroachdb,5,21
senior,Blockchain,InfluxDB,5,22
senior,Blockchain,Supabase,5,23
senior,Blockchain,Couch DB,3,24
senior,Blockchain,Neo4J,3,25
senior,Blockchain,Microsoft Access,3,26
senior,Blockchain,Snowflake,2,27
senior,Blockchain,Clickhouse,2,28
senior,Blockchain,Cosmos DB,2,29
senior,Cloud infrastructure engineer,PostgreSQL,1750,1
senior,Cloud infrastructure engineer,Redis,1215,2
senior,Cloud infrastructure engineer,MySQL,1177,3
senior,Cloud infrastructure engineer,SQLite,824,4
senior,Cloud infrastructure engineer,Elasticsearch,818,5
senior,Cloud infrastructure engineer,Microsoft SQL Server,783,6
senior,Cloud infrastructure engineer,MongoDB,767,7
senior,Cloud infrastructure engineer,DynamoDB,702,8
senior,Cloud infrastructure engineer,MariaDB,522,9
senior,Cloud infrastructure engineer,Oracle,261,10
senior,Cloud infrastructure engineer,Cloud Firestore,201,11
senior,Cloud infrastructure engineer,Cassandra,155,12
senior,Cloud infrastructure engineer,Dynamodb,151,13
senior,Cloud infrastructure engineer,Firebase Realtime Database,136,14
senior,Cloud infrastructure engineer,Neo4j,79,15
senior,Cloud infrastructure engineer,Couchbase,53,16
senior,Cloud infrastructure engineer,IBM DB2,51,17
senior,Cloud infrastructure engineer,BigQuery,50,18
senior,Cloud infrastructure engineer,CouchDB,45,19
senior,Cloud infrastructure engineer,Cosmos DB,33,20
senior,Cloud infrastructure engineer,InfluxDB,25,21
senior,Cloud infrastructure engineer,Snowflake,24,22
senior,Cloud infrastructure engineer,Solr,14,23
senior,Cloud infrastructure engineer,Cockroachdb,13,24
senior,Cloud infrastructure engineer,Neo4J,13,25
senior,Cloud infrastructure engineer,Clickhouse,10,26
senior,Cloud infrastructure engineer,H2,9,27
senior,Cloud infrastructure engineer,Microsoft Access,5,28
senior,Cloud infrastructure engineer,Couch DB,5,29
