YearsGroup,DevType,Webframe,Count,Rank
senior,Academic researcher,jQuery,570,1
senior,Academic researcher,React.js,431,2
senior,Academic researcher,Flask,430,3
senior,Academic researcher,Angular,335,4
senior,Academic researcher,Django,322,5
senior,Academic researcher,Express,271,6
senior,Academic researcher,Vue.js,256,7
senior,Academic researcher,ASP.NET,214,8
senior,Academic researcher,Angular.js,204,9
senior,Academic researcher,Spring,195,10
senior,Academic researcher,Laravel,161,11
senior,Academic researcher,Node.js,127,12
senior,Academic researcher,ASP.NET Core,104,13
senior,Academic researcher,Ruby on Rails,98,14
senior,Academic researcher,FastAPI,82,15
senior,Academic researcher,ASP.NET Core ,82,16
senior,Academic researcher,Symfony,61,17
senior,Academic researcher,Drupal,52,18
senior,Academic researcher,Gatsby,41,19
senior,Academic researcher,Next.js,34,20
senior,Academic researcher,Svelte,21,21
senior,Academic researcher,Nuxt.js,16,22
senior,Academic researcher,WordPress,15,23
senior,Academic researcher,React,12,24
senior,Academic researcher,Blazor,11,25
senior,Academic researcher,Play Framework,6,26
senior,Academic researcher,Deno,5,27
senior,Academic researcher,AngularJS,4,28
senior,Academic researcher,ASP.NET CORE,3,29
senior,Academic researcher,Spring Boot,3,30
senior,Academic researcher,Remix,2,31
senior,Academic researcher,NestJS,2,32
senior,Academic researcher,Phoenix,2,33
senior,Academic researcher,CodeIgniter,1,34
senior,Academic researcher,Fastify,1,35
senior,Blockchain,Node.js,250,1
senior,Blockchain,React.js,180,2
senior,Blockchain,Express,129,3
senior,Blockchain,Next.js,117,4
senior,Blockchain,jQuery,90,5
senior,Blockchain,Vue.js,86,6
senior,Blockchain,Angular,80,7
senior,Blockchain,Flask,63,8
senior,Blockchain,Django,55,9
senior,Blockchain,React,49,10
senior,Blockchain,Angular.js,45,11
senior,Blockchain,FastAPI,43,12
senior,Blockchain,Laravel,40,13
senior,Blockchain,ASP.NET Core ,40,14
senior,Blockchain,Ruby on Rails,37,15
senior,Blockchain,ASP.NET,34,16
senior,Blockchain,Gatsby,31,17
senior,Blockchain,Nuxt.js,29,18
senior,Blockchain,Svelte,28,19
senior,Blockchain,Fastify,26,20
senior,Blockchain,Phoenix,16,21
senior,Blockchain,Symfony,16,22
senior,Blockchain,Deno,16,23
senior,Blockchain,Blazor,12,24
senior,Blockchain,Drupal,11,25
senior,Blockchain,Spring Boot,11,26
senior,Blockchain,WordPress,11,27
senior,Blockchain,Play Framework,11,28
senior,Blockchain,Remix,9,29
senior,Blockchain,AngularJS,7,30
senior,Blockchain,NestJS,6,31
senior,Blockchain,ASP.NET CORE,4,32
senior,Blockchain,Solid.js,3,33
senior,Blockchain,Elm,1,34
senior,Blockchain,Qwik,1,35
senior,Cloud infrastructure engineer,Node.js,1204,1
senior,Cloud infrastructure engineer,React.js,907,2
senior,Cloud infrastructure engineer,Angular,542,3
senior,Cloud infrastructure engineer,jQuery,536,4
senior,Cloud infrastructure engineer,ASP.NET Core ,531,5
senior,Cloud infrastructure engineer,Express,523,6
senior,Cloud infrastructure engineer,Flask,473,7
senior,Cloud infrastructure engineer,Vue.js,454,8
senior,Cloud infrastructure engineer,Django,389,9
senior,Cloud infrastructure engineer,ASP.NET,340,10
senior,Cloud infrastructure engineer,Next.js,307,11
senior,Cloud infrastructure engineer,FastAPI,276,12
senior,Cloud infrastructure engineer,Angular.js,218,13
senior,Cloud infrastructure engineer,Ruby on Rails,186,14
senior,Cloud infrastructure engineer,Laravel,180,15
senior,Cloud infrastructure engineer,Blazor,143,16
senior,Cloud infrastructure engineer,React,114,17
senior,Cloud infrastructure engineer,Gatsby,110,18
senior,Cloud infrastructure engineer,Symfony,102,19
senior,Cloud infrastructure engineer,Svelte,98,20
senior,Cloud infrastructure engineer,Nuxt.js,77,21
senior,Cloud infrastructure engineer,Phoenix,63,22
senior,Cloud infrastructure engineer,Drupal,60,23
senior,Cloud infrastructure engineer,Fastify,59,24
senior,Cloud infrastructure engineer,Deno,51,25
senior,Cloud infrastructure engineer,Spring Boot,50,26
senior,Cloud infrastructure engineer,WordPress,42,27
senior,Cloud infrastructure engineer,ASP.NET CORE,41,28
senior,Cloud infrastructure engineer,Play Framework,38,29
senior,Cloud infrastructure engineer,NestJS,21,30
senior,Cloud infrastructure engineer,AngularJS,19,31
senior,Cloud infrastructure engineer,Lit,6,32
senior,Cloud infrastructure engineer,Elm,4,33
senior,Cloud infrastructure engineer,CodeIgniter,3,34
senior,Cloud infrastructure engineer,Solid.js,1,35
senior,Cloud infrastructure engineer,Qwik,1,36
senior,Data or business analyst,jQuery,1169,1
senior,Data or business analyst,React.js,766,2
senior,Data or business analyst,ASP.NET,712,3
senior,Data or business analyst,Angular,600,4
senior,Data or business analyst,Flask,574,5
senior,Data or business analyst,Django,474,6
senior,Data or business analyst,Express,464,7
senior,Data or business analyst,Vue.js,456,8
senior,Data or business analyst,Angular.js,406,9
senior,Data or business analyst,ASP.NET Core ,399,10
senior,Data or business analyst,Node.js,298,11
senior,Data or business analyst,ASP.NET Core,273,12
senior,Data or business analyst,Laravel,271,13
senior,Data or business analyst,Spring,264,14
senior,Data or business analyst,Ruby on Rails,168,15
senior,Data or business analyst,FastAPI,152,16
senior,Data or business analyst,Drupal,124,17
senior,Data or business analyst,Symfony,122,18
senior,Data or business analyst,Gatsby,72,19
senior,Data or business analyst,Next.js,70,20
senior,Data or business analyst,Blazor,53,21
senior,Data or business analyst,Svelte,39,22
senior,Data or business analyst,Nuxt.js,23,23
senior,Data or business analyst,React,19,24
senior,Data or business analyst,WordPress,18,25
senior,Data or business analyst,Phoenix,17,26
senior,Data or business analyst,Fastify,12,27
senior,Data or business analyst,Play Framework,8,28
senior,Data or business analyst,ASP.NET CORE,7,29
senior,Data or business analyst,Deno,7,30
senior,Data or business analyst,Spring Boot,5,31
senior,Data or business analyst,AngularJS,4,32
senior,Data or business analyst,Qwik,1,33
senior,Data or business analyst,Remix,1,34
senior,Data scientist or machine learning specialist,Flask,1303,1
senior,Data scientist or machine learning specialist,React.js,834,2
senior,Data scientist or machine learning specialist,jQuery,822,3
senior,Data scientist or machine learning specialist,Django,750,4
senior,Data scientist or machine learning specialist,Angular,504,5
senior,Data scientist or machine learning specialist,FastAPI,487,6
senior,Data scientist or machine learning specialist,Express,441,7
senior,Data scientist or machine learning specialist,Vue.js,435,8
senior,Data scientist or machine learning specialist,ASP.NET,323,9
senior,Data scientist or machine learning specialist,Angular.js,293,10
senior,Data scientist or machine learning specialist,Node.js,289,11
senior,Data scientist or machine learning specialist,Spring,255,12
senior,Data scientist or machine learning specialist,ASP.NET Core ,175,13
senior,Data scientist or machine learning specialist,Laravel,169,14
senior,Data scientist or machine learning specialist,Ruby on Rails,166,15
senior,Data scientist or machine learning specialist,ASP.NET Core,143,16
senior,Data scientist or machine learning specialist,Next.js,89,17
senior,Data scientist or machine learning specialist,Symfony,85,18
senior,Data scientist or machine learning specialist,Drupal,80,19
senior,Data scientist or machine learning specialist,React,78,20
senior,Data scientist or machine learning specialist,Gatsby,76,21
senior,Data scientist or machine learning specialist,Svelte,61,22
senior,Data scientist or machine learning specialist,WordPress,22,23
senior,Data scientist or machine learning specialist,Blazor,19,24
senior,Data scientist or machine learning specialist,Spring Boot,17,25
senior,Data scientist or machine learning specialist,Phoenix,17,26
senior,Data scientist or machine learning specialist,AngularJS,16,27
senior,Data scientist or machine learning specialist,ASP.NET CORE,15,28
senior,Data scientist or machine learning specialist,Nuxt.js,14,29
senior,Data scientist or machine learning specialist,Deno,12,30
senior,Data scientist or machine learning specialist,Play Framework,10,31
senior,Data scientist or machine learning specialist,Fastify,9,32
senior,Data scientist or machine learning specialist,CodeIgniter,3,33
senior,Data scientist or machine learning specialist,Remix,2,34
senior,Data scientist or machine learning specialist,Elm,2,35
senior,Data scientist or machine learning specialist,Solid.js,2,36
senior,Data scientist or machine learning specialist,Lit,1,37
senior,Data scientist or machine learning specialist,NestJS,1,38
senior,Database administrator,jQuery,2487,1
senior,Database administrator,React.js,1711,2
senior,Database administrator,ASP.NET,1450,3
senior,Database administrator,Angular,1250,4
senior,Database administrator,Vue.js,1152,5
senior,Database administrator,Express,1083,6
senior,Database administrator,ASP.NET Core ,921,7
senior,Database administrator,Angular.js,840,8
senior,Database administrator,Laravel,813,9
senior,Database administrator,Flask,729,10
senior,Database administrator,Django,707,11
senior,Database administrator,Node.js,681,12
senior,Database administrator,ASP.NET Core,522,13
senior,Database administrator,Spring,452,14
senior,Database administrator,Ruby on Rails,386,15
senior,Database administrator,Symfony,356,16
senior,Database administrator,Drupal,243,17
senior,Database administrator,FastAPI,184,18
senior,Database administrator,Gatsby,180,19
senior,Database administrator,Next.js,169,20
senior,Database administrator,Svelte,105,21
senior,Database administrator,Blazor,98,22
senior,Database administrator,Nuxt.js,66,23
senior,Database administrator,Phoenix,46,24
senior,Database administrator,Fastify,27,25
senior,Database administrator,Deno,17,26
senior,Database administrator,Play Framework,15,27
senior,Database administrator,WordPress,13,28
senior,Database administrator,ASP.NET CORE,5,29
senior,Database administrator,React,4,30
senior,Database administrator,Spring Boot,2,31
senior,Database administrator,AngularJS,2,32
senior,Designer,jQuery,1596,1
senior,Designer,React.js,1163,2
senior,Designer,Angular,942,3
senior,Designer,ASP.NET,817,4
senior,Designer,Vue.js,779,5
senior,Designer,Express,770,6
senior,Designer,Angular.js,604,7
senior,Designer,ASP.NET Core ,474,8
senior,Designer,Laravel,450,9
senior,Designer,Node.js,389,10
senior,Designer,Django,354,11
senior,Designer,Spring,324,12
senior,Designer,Flask,313,13
senior,Designer,ASP.NET Core,304,14
senior,Designer,Ruby on Rails,224,15
senior,Designer,Gatsby,167,16
senior,Designer,Symfony,158,17
senior,Designer,Drupal,155,18
senior,Designer,Next.js,111,19
senior,Designer,Svelte,85,20
senior,Designer,FastAPI,72,21
senior,Designer,Blazor,56,22
senior,Designer,Nuxt.js,42,23
senior,Designer,Fastify,17,24
senior,Designer,Phoenix,17,25
senior,Designer,React,16,26
senior,Designer,Deno,14,27
senior,Designer,WordPress,10,28
senior,Designer,Play Framework,10,29
senior,Designer,AngularJS,4,30
senior,Designer,Spring Boot,2,31
senior,Designer,Remix,1,32
senior,Designer,ASP.NET CORE,1,33
senior,DevOps specialist,React.js,2928,1
senior,DevOps specialist,jQuery,2684,2
senior,DevOps specialist,Angular,2157,3
senior,DevOps specialist,Express,1748,4
senior,DevOps specialist,ASP.NET,1708,5
senior,DevOps specialist,Vue.js,1652,6
senior,DevOps specialist,Flask,1537,7
senior,DevOps specialist,ASP.NET Core ,1443,8
senior,DevOps specialist,Node.js,1250,9
senior,DevOps specialist,Django,1209,10
senior,DevOps specialist,Spring,1126,11
senior,DevOps specialist,Angular.js,1105,12
senior,DevOps specialist,Laravel,742,13
senior,DevOps specialist,ASP.NET Core,704,14
senior,DevOps specialist,Ruby on Rails,668,15
senior,DevOps specialist,Symfony,480,16
senior,DevOps specialist,FastAPI,436,17
senior,DevOps specialist,Gatsby,362,18
senior,DevOps specialist,Next.js,319,19
