YearsGroup,DevType,Language,Count,Rank
senior,Academic researcher,Python,1454,1
senior,Academic researcher,JavaScript,1337,2
senior,Academic researcher,HTML/CSS,1235,3
senior,Academic researcher,SQL,1184,4
senior,Academic researcher,Java,833,5
senior,Academic researcher,C++,801,6
senior,Academic researcher,C,706,7
senior,Academic researcher,Bash/Shell/PowerShell,607,8
senior,Academic researcher,PHP,538,9
senior,Academic researcher,C#,515,10
senior,Academic researcher,TypeScript,503,11
senior,Academic researcher,R,403,12
senior,Academic researcher,Bash/Shell,342,13
senior,Academic researcher,Go,252,14
senior,Academic researcher,Assembly,192,15
senior,Academic researcher,Ruby,183,16
senior,Academic researcher,Rust,178,17
senior,Academic researcher,Node.js,163,18
senior,Academic researcher,Kotlin,146,19
senior,Academic researcher,VBA,145,20
senior,Academic researcher,PowerShell,129,21
senior,Academic researcher,Scala,123,22
senior,Academic researcher,Swift,103,23
senior,Academic researcher,Objective-C,94,24
senior,Academic researcher,Dart,93,25
senior,Academic researcher,Perl,81,26
senior,Academic researcher,Other(s):,78,27
senior,Academic researcher,Matlab,75,28
senior,Academic researcher,Haskell,67,29
senior,Academic researcher,Julia,58,30
senior,Academic researcher,MATLAB,57,31
senior,Academic researcher,Bash/Shell (all shells),35,32
senior,Academic researcher,Groovy,27,33
senior,Academic researcher,Erlang,25,34
senior,Academic researcher,Delphi,25,35
senior,Academic researcher,LISP,24,36
senior,Academic researcher,Elixir,20,37
senior,Academic researcher,Lua,20,38
senior,Academic researcher,Clojure,19,39
senior,Academic researcher,F#,16,40
senior,Academic researcher,Fortran,11,41
senior,Academic researcher,Crystal,10,42
senior,Academic researcher,APL,8,43
senior,Academic researcher,Solidity,8,44
senior,Academic researcher,SAS,7,45
senior,Academic researcher,COBOL,7,46
senior,Academic researcher,OCaml,6,47
senior,Academic researcher,WebAssembly,6,48
senior,Academic researcher,Prolog,3,49
senior,Academic researcher,Nim,3,50
senior,Academic researcher,Lisp,2,51
senior,Academic researcher,Visual Basic (.Net),2,52
senior,Academic researcher,Cobol,1,53
senior,Blockchain,JavaScript,328,1
senior,Blockchain,TypeScript,262,2
senior,Blockchain,Python,216,3
senior,Blockchain,SQL,210,4
senior,Blockchain,HTML/CSS,207,5
senior,Blockchain,Solidity,139,6
senior,Blockchain,Java,132,7
senior,Blockchain,Bash/Shell,128,8
senior,Blockchain,Go,119,9
senior,Blockchain,Rust,114,10
senior,Blockchain,PHP,88,11
senior,Blockchain,C++,88,12
senior,Blockchain,C#,84,13
senior,Blockchain,C,77,14
senior,Blockchain,Kotlin,58,15
senior,Blockchain,PowerShell,54,16
senior,Blockchain,Ruby,41,17
senior,Blockchain,Bash/Shell (all shells),34,18
senior,Blockchain,Swift,32,19
senior,Blockchain,Dart,32,20
senior,Blockchain,Groovy,27,21
senior,Blockchain,Assembly,26,22
senior,Blockchain,Haskell,25,23
senior,Blockchain,Lua,24,24
senior,Blockchain,Scala,23,25
senior,Blockchain,Objective-C,21,26
senior,Blockchain,R,19,27
senior,Blockchain,MATLAB,19,28
senior,Blockchain,Elixir,19,29
senior,Blockchain,Perl,16,30
senior,Blockchain,Clojure,14,31
senior,Blockchain,OCaml,13,32
senior,Blockchain,VBA,11,33
senior,Blockchain,Julia,10,34
senior,Blockchain,Delphi,10,35
senior,Blockchain,Erlang,9,36
senior,Blockchain,LISP,9,37
senior,Blockchain,F#,8,38
senior,Blockchain,SAS,7,39
senior,Blockchain,COBOL,5,40
senior,Blockchain,Crystal,5,41
senior,Blockchain,Fortran,4,42
senior,Blockchain,APL,3,43
senior,Blockchain,Apex,2,44
senior,Blockchain,GDScript,1,45
senior,Blockchain,Cobol,1,46
senior,Cloud infrastructure engineer,JavaScript,1944,1
senior,Cloud infrastructure engineer,SQL,1723,2
senior,Cloud infrastructure engineer,Python,1709,3
senior,Cloud infrastructure engineer,HTML/CSS,1451,4
senior,Cloud infrastructure engineer,TypeScript,1330,5
senior,Cloud infrastructure engineer,Bash/Shell,1308,6
senior,Cloud infrastructure engineer,Java,1010,7
senior,Cloud infrastructure engineer,Go,863,8
senior,Cloud infrastructure engineer,C#,846,9
senior,Cloud infrastructure engineer,PowerShell,595,10
senior,Cloud infrastructure engineer,PHP,493,11
senior,Cloud infrastructure engineer,C++,420,12
senior,Cloud infrastructure engineer,Rust,403,13
senior,Cloud infrastructure engineer,C,364,14
senior,Cloud infrastructure engineer,Bash/Shell (all shells),304,15
senior,Cloud infrastructure engineer,Ruby,299,16
senior,Cloud infrastructure engineer,Kotlin,279,17
senior,Cloud infrastructure engineer,Groovy,259,18
senior,Cloud infrastructure engineer,Scala,176,19
senior,Cloud infrastructure engineer,Lua,151,20
senior,Cloud infrastructure engineer,Dart,134,21
senior,Cloud infrastructure engineer,Swift,119,22
senior,Cloud infrastructure engineer,Assembly,104,23
senior,Cloud infrastructure engineer,Elixir,96,24
senior,Cloud infrastructure engineer,Perl,95,25
senior,Cloud infrastructure engineer,VBA,84,26
senior,Cloud infrastructure engineer,Objective-C,75,27
senior,Cloud infrastructure engineer,R,74,28
senior,Cloud infrastructure engineer,Clojure,67,29
senior,Cloud infrastructure engineer,MATLAB,53,30
senior,Cloud infrastructure engineer,Delphi,52,31
senior,Cloud infrastructure engineer,Erlang,51,32
senior,Cloud infrastructure engineer,F#,50,33
senior,Cloud infrastructure engineer,Solidity,49,34
senior,Cloud infrastructure engineer,Haskell,40,35
