YearsGroup,DevType,Platform,Count,Rank
senior,Academic researcher,Linux,923,1
senior,Academic researcher,AWS,776,2
senior,Academic researcher,Windows,646,3
senior,Academic researcher,Docker,548,4
senior,Academic researcher,Google Cloud Platform,438,5
senior,Academic researcher,Microsoft Azure,413,6
senior,Academic researcher,MacOS,364,7
senior,Academic researcher,Android,343,8
senior,Academic researcher,Heroku,285,9
senior,Academic researcher,Raspberry Pi,271,10
senior,Academic researcher,WordPress,218,11
senior,Academic researcher,Arduino,200,12
senior,Academic researcher,Kubernetes,154,13
senior,Academic researcher,DigitalOcean,150,14
senior,Academic researcher,iOS,133,15
senior,Academic researcher,Google Cloud,98,16
senior,Academic researcher,Slack,81,17
senior,Academic researcher,Slack Apps and Integrations,77,18
senior,Academic researcher,IBM Cloud or Watson,76,19
senior,Academic researcher,VMware,49,20
senior,Academic researcher,Firebase,48,21
senior,Academic researcher,Managed Hosting,33,22
senior,Academic researcher,Amazon Web Services (AWS),31,23
senior,Academic researcher,OpenStack,25,24
senior,Academic researcher,Other(s):,25,25
senior,Academic researcher,OVH,19,26
senior,Academic researcher,Oracle Cloud Infrastructure,14,27
senior,Academic researcher,Linode,10,28
senior,Academic researcher,Cloudflare,9,29
senior,Academic researcher,Hetzner,9,30
senior,Academic researcher,Digital Ocean,8,31
senior,Academic researcher,Netlify,6,32
senior,Academic researcher,"Linode, now Akamai",5,33
senior,Academic researcher,Vercel,5,34
senior,Academic researcher,IBM Cloud Or Watson,3,35
senior,Academic researcher,Colocation,3,36
senior,Academic researcher,Oracle Cloud Infrastructure (OCI),2,37
senior,Academic researcher,OpenShift,1,38
senior,Academic researcher,Render,1,39
senior,Blockchain,AWS,253,1
senior,Blockchain,Google Cloud,151,2
senior,Blockchain,DigitalOcean,100,3
senior,Blockchain,Microsoft Azure,97,4
senior,Blockchain,Firebase,89,5
senior,Blockchain,Heroku,73,6
senior,Blockchain,Amazon Web Services (AWS),60,7
senior,Blockchain,VMware,35,8
senior,Blockchain,OVH,35,9
senior,Blockchain,Managed Hosting,29,10
senior,Blockchain,Linode,28,11
senior,Blockchain,Cloudflare,24,12
senior,Blockchain,Digital Ocean,23,13
senior,Blockchain,OpenStack,14,14
senior,Blockchain,Vercel,13,15
senior,Blockchain,Colocation,13,16
senior,Blockchain,"Linode, now Akamai",8,17
senior,Blockchain,Hetzner,8,18
senior,Blockchain,Oracle Cloud Infrastructure,8,19
senior,Blockchain,IBM Cloud or Watson,8,20
senior,Blockchain,Netlify,7,21
senior,Blockchain,OpenShift,4,22
senior,Blockchain,Vultr,3,23
senior,Blockchain,IBM Cloud Or Watson,2,24
senior,Blockchain,Render,2,25
senior,Blockchain,Fly.io,2,26
senior,Blockchain,Oracle Cloud Infrastructure (OCI),1,27
senior,Blockchain,Scaleway,1,28
senior,Cloud infrastructure engineer,AWS,1770,1
senior,Cloud infrastructure engineer,Microsoft Azure,1043,2
senior,Cloud infrastructure engineer,Google Cloud,955,3
senior,Cloud infrastructure engineer,DigitalOcean,391,4
senior,Cloud infrastructure engineer,Amazon Web Services (AWS),355,5
senior,Cloud infrastructure engineer,Firebase,341,6
senior,Cloud infrastructure engineer,Heroku,280,7
senior,Cloud infrastructure engineer,VMware,241,8
senior,Cloud infrastructure engineer,Managed Hosting,164,9
senior,Cloud infrastructure engineer,OVH,122,10
senior,Cloud infrastructure engineer,OpenStack,118,11
senior,Cloud infrastructure engineer,Linode,103,12
senior,Cloud infrastructure engineer,Cloudflare,93,13
senior,Cloud infrastructure engineer,Digital Ocean,67,14
senior,Cloud infrastructure engineer,Colocation,66,15
senior,Cloud infrastructure engineer,Oracle Cloud Infrastructure,62,16
senior,Cloud infrastructure engineer,IBM Cloud or Watson,50,17
senior,Cloud infrastructure engineer,Hetzner,30,18
senior,Cloud infrastructure engineer,OpenShift,25,19
senior,Cloud infrastructure engineer,Netlify,22,20
senior,Cloud infrastructure engineer,"Linode, now Akamai",21,21
senior,Cloud infrastructure engineer,Oracle Cloud Infrastructure (OCI),18,22
senior,Cloud infrastructure engineer,Fly.io,17,23
senior,Cloud infrastructure engineer,Vercel,16,24
senior,Cloud infrastructure engineer,Scaleway,10,25
senior,Cloud infrastructure engineer,Vultr,10,26
senior,Cloud infrastructure engineer,IBM Cloud Or Watson,4,27
senior,Cloud infrastructure engineer,Render,4,28
senior,Data or business analyst,AWS,1600,1
senior,Data or business analyst,Microsoft Azure,1242,2
senior,Data or business analyst,Windows,1053,3
senior,Data or business analyst,Linux,903,4
senior,Data or business analyst,Google Cloud Platform,597,5
senior,Data or business analyst,Docker,576,6
senior,Data or business analyst,Heroku,398,7
senior,Data or business analyst,MacOS,360,8
senior,Data or business analyst,Android,316,9
senior,Data or business analyst,Google Cloud,314,10
senior,Data or business analyst,DigitalOcean,305,11
senior,Data or business analyst,WordPress,281,12
senior,Data or business analyst,Raspberry Pi,276,13
senior,Data or business analyst,Kubernetes,176,14
senior,Data or business analyst,Arduino,167,15
senior,Data or business analyst,iOS,162,16
senior,Data or business analyst,VMware,124,17
senior,Data or business analyst,Slack Apps and Integrations,109,18
senior,Data or business analyst,Firebase,108,19
senior,Data or business analyst,IBM Cloud or Watson,105,20
senior,Data or business analyst,Managed Hosting,76,21
senior,Data or business analyst,Amazon Web Services (AWS),59,22
senior,Data or business analyst,Oracle Cloud Infrastructure,50,23
senior,Data or business analyst,Slack,46,24
senior,Data or business analyst,Linode,33,25
senior,Data or business analyst,OVH,32,26
senior,Data or business analyst,OpenStack,21,27
senior,Data or business analyst,Colocation,17,28
senior,Data or business analyst,Cloudflare,9,29
senior,Data or business analyst,Other(s):,9,30
senior,Data or business analyst,Oracle Cloud Infrastructure (OCI),7,31
senior,Data or business analyst,Vercel,7,32
senior,Data or business analyst,Netlify,5,33
senior,Data or business analyst,Digital Ocean,5,34
senior,Data or business analyst,IBM Cloud Or Watson,4,35
senior,Data or business analyst,Hetzner,3,36
senior,Data or business analyst,"Linode, now Akamai",3,37
senior,Data or business analyst,OpenShift,2,38
senior,Data or business analyst,Scaleway,1,39
senior,Data or business analyst,Fly.io,1,40
senior,Data scientist or machine learning specialist,AWS,2040,1
senior,Data scientist or machine learning specialist,Linux,1295,2
senior,Data scientist or machine learning specialist,Microsoft Azure,1194,3
senior,Data scientist or machine learning specialist,Google Cloud Platform,929,4
senior,Data scientist or machine learning specialist,Docker,899,5
senior,Data scientist or machine learning specialist,Windows,872,6
senior,Data scientist or machine learning specialist,MacOS,527,7
senior,Data scientist or machine learning specialist,Heroku,489,8
senior,Data scientist or machine learning specialist,Google Cloud,487,9
senior,Data scientist or machine learning specialist,Raspberry Pi,357,10
senior,Data scientist or machine learning specialist,Kubernetes,337,11
senior,Data scientist or machine learning specialist,Android,323,12
senior,Data scientist or machine learning specialist,DigitalOcean,302,13
senior,Data scientist or machine learning specialist,Amazon Web Services (AWS),279,14
senior,Data scientist or machine learning specialist,Arduino,200,15
senior,Data scientist or machine learning specialist,WordPress,192,16
senior,Data scientist or machine learning specialist,IBM Cloud or Watson,159,17
senior,Data scientist or machine learning specialist,iOS,153,18
