,DatabaseHaveWorkedWith,AverageSalary
0,CouchDB,3440396.286375884
1,Neo4j,3008224.1218991536
2,Couchbase,1203025.2637461
3,IBM DB2,1016104.0347399696
4,Cloud Firestore,940290.7723725232
5,Firebase Realtime Database,902001.3298149809
6,Cassandra,804865.6700470513
7,Firebird,774587.2489229296
8,DynamoDB,446599.46413774224
9,Oracle,310728.67858170375
10,Microsoft Access,287132.37981227046
11,Redis,247743.95673945482
12,MariaDB,238059.43897293872
13,Microsoft SQL Server,220721.56673579896
14,MongoDB,206026.98857178303
15,SQLite,205239.0363787319
16,PostgreSQL,198317.22036563142
17,MySQL,175848.28390817446
18,Elasticsearch,168197.2372592857
19,Other(s):,161637.58555409932
20,Snowflake,159087.62235407313
21,Datomic,158280.37984496125
22,DuckDB,149669.16024187452
23,TiDB,144906.26952141058
24,Cockroachdb,136541.16043478262
25,RavenDB,128184.85657370518
26,BigQuery,124927.1232048375
27,Dynamodb,124457.89313009876
28,Clickhouse,117104.21517302573
29,Solr,112404.71733403583
30,InfluxDB,112338.5983330662
31,Cosmos DB,110826.63828183874
32,Neo4J,110329.37102030584
33,Firebase,109111.67872077305
34,Couch DB,108263.5451724138
35,H2,90798.31408160794
36,Supabase,89257.64780405405
