DevType,Database,Count,Rank
Academic researcher,MySQL,1391,1
Academic researcher,PostgreSQL,1197,2
Academic researcher,SQLite,1159,3
Academic researcher,MongoDB,834,4
Academic researcher,Microsoft SQL Server,590,5
Academic researcher,MariaDB,542,6
Academic researcher,Redis,509,7
Academic researcher,Elasticsearch,395,8
Academic researcher,Oracle,349,9
Academic researcher,Firebase,307,10
Academic researcher,DynamoDB,169,11
Academic researcher,Cassandra,119,12
Academic researcher,IBM DB2,59,13
Academic researcher,Couchbase,59,14
Academic researcher,Other(s):,45,15
Academic researcher,Firebase Realtime Database,37,16
Academic researcher,Cloud Firestore,30,17
Academic researcher,Neo4j,22,18
Academic researcher,CouchDB,12,19
Academic researcher,InfluxDB,8,20
Academic researcher,Microsoft Access,6,21
Academic researcher,DuckDB,5,22
Academic researcher,Neo4J,3,23
Academic researcher,Dynamodb,3,24
Academic researcher,H2,2,25
Academic researcher,Snowflake,1,26
Academic researcher,Cosmos DB,1,27
Academic researcher,Supabase,1,28
Academic researcher,Couch DB,1,29
Blockchain,PostgreSQL,365,1
Blockchain,MongoDB,242,2
Blockchain,MySQL,237,3
Blockchain,Redis,217,4
Blockchain,SQLite,180,5
Blockchain,MariaDB,104,6
Blockchain,Elasticsearch,98,7
Blockchain,Microsoft SQL Server,87,8
Blockchain,DynamoDB,80,9
Blockchain,Firebase Realtime Database,59,10
Blockchain,Cloud Firestore,58,11
Blockchain,Oracle,43,12
Blockchain,Neo4j,23,13
Blockchain,CouchDB,22,14
Blockchain,Cassandra,21,15
Blockchain,Dynamodb,14,16
Blockchain,IBM DB2,12,17
Blockchain,Couchbase,11,18
Blockchain,H2,7,19
Blockchain,Supabase,7,20
Blockchain,BigQuery,7,21
Blockchain,InfluxDB,5,22
Blockchain,Cockroachdb,5,23
Blockchain,Couch DB,4,24
Blockchain,Neo4J,3,25
Blockchain,Microsoft Access,3,26
Blockchain,Snowflake,2,27
Blockchain,Clickhouse,2,28
Blockchain,Cosmos DB,2,29
Cloud infrastructure engineer,PostgreSQL,1940,1
Cloud infrastructure engineer,Redis,1323,2
Cloud infrastructure engineer,MySQL,1322,3
Cloud infrastructure engineer,SQLite,921,4
Cloud infrastructure engineer,Elasticsearch,880,5
Cloud infrastructure engineer,MongoDB,877,6
Cloud infrastructure engineer,Microsoft SQL Server,865,7
Cloud infrastructure engineer,DynamoDB,772,8
Cloud infrastructure engineer,MariaDB,575,9
Cloud infrastructure engineer,Oracle,286,10
Cloud infrastructure engineer,Cloud Firestore,235,11
Cloud infrastructure engineer,Firebase Realtime Database,170,12
Cloud infrastructure engineer,Cassandra,168,13
Cloud infrastructure engineer,Dynamodb,163,14
Cloud infrastructure engineer,Neo4j,87,15
Cloud infrastructure engineer,BigQuery,57,16
Cloud infrastructure engineer,Couchbase,56,17
Cloud infrastructure engineer,IBM DB2,54,18
Cloud infrastructure engineer,CouchDB,53,19
Cloud infrastructure engineer,Cosmos DB,34,20
Cloud infrastructure engineer,InfluxDB,28,21
Cloud infrastructure engineer,Snowflake,27,22
Cloud infrastructure engineer,Cockroachdb,16,23
Cloud infrastructure engineer,Solr,14,24
Cloud infrastructure engineer,Neo4J,13,25
Cloud infrastructure engineer,Clickhouse,10,26
Cloud infrastructure engineer,H2,9,27
Cloud infrastructure engineer,Microsoft Access,7,28
Cloud infrastructure engineer,Couch DB,6,29
Cloud infrastructure engineer,TiDB,4,30
Cloud infrastructure engineer,DuckDB,4,31
Cloud infrastructure engineer,Supabase,3,32
Cloud infrastructure engineer,Firebird,2,33
Cloud infrastructure engineer,Datomic,1,34
Cloud infrastructure engineer,RavenDB,1,35
Data or business analyst,MySQL,2370,1
Data or business analyst,Microsoft SQL Server,2269,2
Data or business analyst,PostgreSQL,2131,3
Data or business analyst,SQLite,1611,4
Data or business analyst,MongoDB,1103,5
Data or business analyst,Oracle,994,6
Data or business analyst,MariaDB,835,7
Data or business analyst,Redis,797,8
Data or business analyst,Elasticsearch,658,9
Data or business analyst,Firebase,377,10
Data or business analyst,DynamoDB,347,11
Data or business analyst,IBM DB2,215,12
Data or business analyst,Cassandra,142,13
Data or business analyst,Firebase Realtime Database,76,14
Data or business analyst,Couchbase,75,15
Data or business analyst,Cloud Firestore,75,16
Data or business analyst,Other(s):,40,17
Data or business analyst,BigQuery,35,18
Data or business analyst,Neo4j,33,19
Data or business analyst,Microsoft Access,26,20
Data or business analyst,Snowflake,17,21
Data or business analyst,CouchDB,17,22
Data or business analyst,Cosmos DB,7,23
Data or business analyst,DuckDB,4,24
Data or business analyst,InfluxDB,3,25
Data or business analyst,Dynamodb,3,26
Data or business analyst,Firebird,3,27
Data or business analyst,Couch DB,3,28
Data or business analyst,Neo4J,3,29
Data or business analyst,Solr,2,30
Data or business analyst,Clickhouse,1,31
Data or business analyst,H2,1,32
Data or business analyst,Supabase,1,33
Data scientist or machine learning specialist,PostgreSQL,2827,1
Data scientist or machine learning specialist,MySQL,2461,2
Data scientist or machine learning specialist,SQLite,2044,3
Data scientist or machine learning specialist,Microsoft SQL Server,1593,4
Data scientist or machine learning specialist,MongoDB,1561,5
Data scientist or machine learning specialist,Redis,1155,6
Data scientist or machine learning specialist,Elasticsearch,1085,7
Data scientist or machine learning specialist,Oracle,793,8
Data scientist or machine learning specialist,MariaDB,736,9
Data scientist or machine learning specialist,DynamoDB,465,10
Data scientist or machine learning specialist,Firebase,373,11
Data scientist or machine learning specialist,Cassandra,287,12
Data scientist or machine learning specialist,IBM DB2,152,13
Data scientist or machine learning specialist,BigQuery,118,14
Data scientist or machine learning specialist,Cloud Firestore,90,15
Data scientist or machine learning specialist,Snowflake,87,16
Data scientist or machine learning specialist,Firebase Realtime Database,76,17
Data scientist or machine learning specialist,Couchbase,74,18
Data scientist or machine learning specialist,Dynamodb,67,19
Data scientist or machine learning specialist,Neo4j,65,20
Data scientist or machine learning specialist,Other(s):,62,21
Data scientist or machine learning specialist,Neo4J,36,22
Data scientist or machine learning specialist,DuckDB,26,23
Data scientist or machine learning specialist,Cosmos DB,20,24
Data scientist or machine learning specialist,Solr,18,25
Data scientist or machine learning specialist,InfluxDB,18,26
Data scientist or machine learning specialist,Microsoft Access,18,27
Data scientist or machine learning specialist,CouchDB,16,28
Data scientist or machine learning specialist,Clickhouse,13,29
Data scientist or machine learning specialist,Couch DB,6,30
Data scientist or machine learning specialist,Supabase,6,31
Data scientist or machine learning specialist,H2,5,32
Data scientist or machine learning specialist,Cockroachdb,5,33
Data scientist or machine learning specialist,Firebird,2,34
Data scientist or machine learning specialist,Datomic,1,35
Database administrator,MySQL,4089,1
Database administrator,PostgreSQL,3398,2
Database administrator,Microsoft SQL Server,3349,3
Database administrator,SQLite,2571,4
Database administrator,MariaDB,1989,5
Database administrator,Redis,1974,6
Database administrator,MongoDB,1892,7
Database administrator,Elasticsearch,1311,8
Database administrator,Oracle,1161,9
Database administrator,Firebase,727,10
Database administrator,DynamoDB,681,11
Database administrator,Cassandra,241,12
Database administrator,IBM DB2,206,13
Database administrator,Couchbase,147,14
Database administrator,Cloud Firestore,132,15
Database administrator,Firebase Realtime Database,131,16
Database administrator,Other(s):,56,17
Database administrator,Neo4j,44,18
Database administrator,CouchDB,38,19
Database administrator,Microsoft Access,8,20
Database administrator,BigQuery,6,21
Database administrator,Cosmos DB,3,22
Database administrator,Snowflake,3,23
Database administrator,Firebird,2,24
Database administrator,DuckDB,2,25
Database administrator,InfluxDB,2,26
Database administrator,Dynamodb,2,27
Database administrator,Solr,1,28
Database administrator,Couch DB,1,29
Database administrator,Neo4J,1,30
Designer,MySQL,2721,1
Designer,Microsoft SQL Server,1828,2
Designer,PostgreSQL,1766,3
Designer,SQLite,1653,4
Designer,MongoDB,1331,5
Designer,MariaDB,1006,6
Designer,Redis,872,7
Designer,Oracle,748,8
Designer,Firebase,700,9
Designer,Elasticsearch,590,10
Designer,DynamoDB,344,11
Designer,IBM DB2,163,12
Designer,Cassandra,116,13
Designer,Cloud Firestore,113,14
Designer,Firebase Realtime Database,111,15
Designer,Couchbase,99,16
Designer,Other(s):,31,17
Designer,Neo4j,30,18
Designer,CouchDB,29,19
Designer,Supabase,6,20
Designer,BigQuery,5,21
Designer,Microsoft Access,5,22
Designer,Dynamodb,4,23
Designer,Solr,1,24
Designer,Firebird,1,25
Designer,Cockroachdb,1,26
Designer,Snowflake,1,27
Designer,InfluxDB,1,28
Designer,Couch DB,1,29
Designer,Neo4J,1,30
Designer,Cosmos DB,1,31
DevOps specialist,PostgreSQL,5808,1
DevOps specialist,MySQL,5004,2
DevOps specialist,Redis,4078,3
DevOps specialist,Microsoft SQL Server,3715,4
DevOps specialist,SQLite,3413,5
DevOps specialist,MongoDB,3289,6
DevOps specialist,Elasticsearch,3201,7
DevOps specialist,MariaDB,2495,8
DevOps specialist,DynamoDB,1729,9
DevOps specialist,Oracle,1483,10
DevOps specialist,Firebase,851,11
DevOps specialist,Cassandra,530,12
DevOps specialist,IBM DB2,285,13
DevOps specialist,Couchbase,263,14
DevOps specialist,Cloud Firestore,187,15
DevOps specialist,Firebase Realtime Database,153,16
DevOps specialist,Dynamodb,127,17
DevOps specialist,Neo4j,79,18
DevOps specialist,CouchDB,64,19
DevOps specialist,InfluxDB,62,20
DevOps specialist,Other(s):,52,21
DevOps specialist,Cosmos DB,48,22
DevOps specialist,BigQuery,38,23
DevOps specialist,Snowflake,26,24
DevOps specialist,H2,26,25
DevOps specialist,Microsoft Access,22,26
DevOps specialist,Solr,16,27
