YearsGroup,DevType,Language,Count,Rank
junior,Academic researcher,Python,54,1
junior,Academic researcher,JavaScript,44,2
junior,Academic researcher,SQL,40,3
junior,Academic researcher,HTML/CSS,40,4
junior,Academic researcher,Java,24,5
junior,Academic researcher,C++,19,6
junior,Academic researcher,C,18,7
junior,Academic researcher,R,17,8
junior,Academic researcher,C#,14,9
junior,Academic researcher,Bash/Shell/PowerShell,14,10
junior,Academic researcher,TypeScript,13,11
junior,Academic researcher,PHP,9,12
junior,Academic researcher,VBA,7,13
junior,Academic researcher,Bash/Shell,7,14
junior,Academic researcher,Dart,6,15
junior,Academic researcher,Ruby,5,16
junior,Academic researcher,Go,4,17
junior,Academic researcher,APL,4,18
junior,Academic researcher,Node.js,4,19
junior,Academic researcher,Swift,3,20
junior,Academic researcher,MATLAB,3,21
junior,Academic researcher,Clojure,3,22
junior,Academic researcher,Assembly,3,23
junior,Academic researcher,PowerShell,2,24
junior,Academic researcher,Rust,2,25
junior,Academic researcher,Objective-C,2,26
junior,Academic researcher,Kotlin,2,27
junior,Academic researcher,Lua,1,28
junior,Academic researcher,Matlab,1,29
junior,Academic researcher,Julia,1,30
junior,Academic researcher,Scala,1,31
junior,Academic researcher,Perl,1,32
junior,Academic researcher,Erlang,1,33
junior,Academic researcher,Elixir,1,34
junior,Blockchain,JavaScript,21,1
junior,Blockchain,HTML/CSS,17,2
junior,Blockchain,Solidity,15,3
junior,Blockchain,TypeScript,15,4
junior,Blockchain,Python,11,5
junior,Blockchain,SQL,10,6
junior,Blockchain,Rust,7,7
junior,Blockchain,Java,7,8
junior,Blockchain,Bash/Shell,6,9
junior,Blockchain,PHP,5,10
junior,Blockchain,Go,4,11
junior,Blockchain,C#,3,12
junior,Blockchain,VBA,3,13
junior,Blockchain,PowerShell,3,14
junior,Blockchain,Assembly,2,15
junior,Blockchain,SAS,1,16
junior,Blockchain,MATLAB,1,17
junior,Blockchain,Perl,1,18
junior,Blockchain,APL,1,19
junior,Blockchain,C,1,20
junior,Blockchain,C++,1,21
junior,Blockchain,Haskell,1,22
junior,Blockchain,Ruby,1,23
junior,Blockchain,Scala,1,24
junior,Cloud infrastructure engineer,Python,29,1
junior,Cloud infrastructure engineer,SQL,26,2
junior,Cloud infrastructure engineer,JavaScript,21,3
junior,Cloud infrastructure engineer,HTML/CSS,17,4
junior,Cloud infrastructure engineer,TypeScript,15,5
junior,Cloud infrastructure engineer,Bash/Shell,14,6
junior,Cloud infrastructure engineer,PowerShell,11,7
junior,Cloud infrastructure engineer,Go,11,8
junior,Cloud infrastructure engineer,Java,11,9
junior,Cloud infrastructure engineer,C#,9,10
junior,Cloud infrastructure engineer,C++,5,11
junior,Cloud infrastructure engineer,C,4,12
junior,Cloud infrastructure engineer,PHP,4,13
junior,Cloud infrastructure engineer,VBA,3,14
junior,Cloud infrastructure engineer,Dart,3,15
junior,Cloud infrastructure engineer,Bash/Shell (all shells),2,16
junior,Cloud infrastructure engineer,Rust,2,17
junior,Cloud infrastructure engineer,Scala,2,18
junior,Cloud infrastructure engineer,APL,2,19
junior,Cloud infrastructure engineer,Kotlin,2,20
junior,Cloud infrastructure engineer,SAS,1,21
junior,Cloud infrastructure engineer,Solidity,1,22
junior,Cloud infrastructure engineer,Clojure,1,23
junior,Cloud infrastructure engineer,Groovy,1,24
junior,Cloud infrastructure engineer,Lua,1,25
junior,Cloud infrastructure engineer,Ruby,1,26
junior,Cloud infrastructure engineer,MATLAB,1,27
junior,Data or business analyst,SQL,229,1
junior,Data or business analyst,Python,221,2
junior,Data or business analyst,HTML/CSS,128,3
junior,Data or business analyst,JavaScript,127,4
junior,Data or business analyst,R,74,5
junior,Data or business analyst,VBA,44,6
junior,Data or business analyst,Java,40,7
junior,Data or business analyst,Bash/Shell/PowerShell,33,8
junior,Data or business analyst,TypeScript,30,9
junior,Data or business analyst,PHP,30,10
junior,Data or business analyst,C,28,11
junior,Data or business analyst,Bash/Shell,28,12
junior,Data or business analyst,C#,26,13
junior,Data or business analyst,C++,20,14
junior,Data or business analyst,Node.js,14,15
junior,Data or business analyst,PowerShell,13,16
junior,Data or business analyst,Go,8,17
junior,Data or business analyst,Dart,7,18
junior,Data or business analyst,Kotlin,7,19
junior,Data or business analyst,Ruby,6,20
junior,Data or business analyst,Rust,6,21
junior,Data or business analyst,Scala,5,22
junior,Data or business analyst,APL,4,23
junior,Data or business analyst,MATLAB,4,24
junior,Data or business analyst,Matlab,4,25
junior,Data or business analyst,Bash/Shell (all shells),3,26
junior,Data or business analyst,Delphi,3,27
junior,Data or business analyst,SAS,3,28
junior,Data or business analyst,Swift,2,29
junior,Data or business analyst,Julia,2,30
junior,Data or business analyst,Haskell,2,31
junior,Data or business analyst,Assembly,2,32
junior,Data or business analyst,Lua,1,33
junior,Data or business analyst,Visual Basic (.Net),1,34
junior,Data or business analyst,Solidity,1,35
junior,Data or business analyst,Elixir,1,36
junior,Data or business analyst,LISP,1,37
junior,Data or business analyst,Clojure,1,38
junior,Data or business analyst,F#,1,39
junior,Data scientist or machine learning specialist,Python,188,1
junior,Data scientist or machine learning specialist,SQL,146,2
junior,Data scientist or machine learning specialist,R,80,3
junior,Data scientist or machine learning specialist,HTML/CSS,79,4
junior,Data scientist or machine learning specialist,JavaScript,76,5
junior,Data scientist or machine learning specialist,Java,39,6
junior,Data scientist or machine learning specialist,C++,35,7
junior,Data scientist or machine learning specialist,C,32,8
junior,Data scientist or machine learning specialist,C#,24,9
junior,Data scientist or machine learning specialist,VBA,21,10
junior,Data scientist or machine learning specialist,Bash/Shell/PowerShell,21,11
