DevType,Platform,Count,Rank
Academic researcher,Linux,1083,1
Academic researcher,AWS,956,2
Academic researcher,Windows,784,3
Academic researcher,Docker,639,4
Academic researcher,Google Cloud Platform,528,5
Academic researcher,Microsoft Azure,508,6
Academic researcher,MacOS,422,7
Academic researcher,Android,419,8
Academic researcher,Heroku,396,9
Academic researcher,Raspberry Pi,307,10
Academic researcher,WordPress,259,11
Academic researcher,Arduino,251,12
Academic researcher,DigitalOcean,188,13
Academic researcher,Kubernetes,172,14
Academic researcher,iOS,158,15
Academic researcher,Google Cloud,130,16
Academic researcher,IBM Cloud or Watson,100,17
Academic researcher,Slack,95,18
Academic researcher,Slack Apps and Integrations,93,19
Academic researcher,Firebase,69,20
Academic researcher,VMware,57,21
Academic researcher,Amazon Web Services (AWS),42,22
Academic researcher,Managed Hosting,38,23
Academic researcher,Other(s):,30,24
Academic researcher,OpenStack,29,25
Academic researcher,OVH,22,26
Academic researcher,Oracle Cloud Infrastructure,20,27
Academic researcher,Linode,13,28
Academic researcher,Cloudflare,10,29
Academic researcher,Digital Ocean,9,30
Academic researcher,Hetzner,9,31
Academic researcher,Vercel,7,32
Academic researcher,Netlify,7,33
Academic researcher,"Linode, now Akamai",6,34
Academic researcher,Colocation,6,35
Academic researcher,IBM Cloud Or Watson,3,36
Academic researcher,Oracle Cloud Infrastructure (OCI),3,37
Academic researcher,Vultr,1,38
Academic researcher,OpenShift,1,39
Academic researcher,Fly.io,1,40
Academic researcher,Render,1,41
Blockchain,AWS,317,1
Blockchain,Google Cloud,193,2
Blockchain,Firebase,127,3
Blockchain,DigitalOcean,126,4
Blockchain,Microsoft Azure,121,5
Blockchain,Heroku,111,6
Blockchain,Amazon Web Services (AWS),73,7
Blockchain,VMware,43,8
Blockchain,OVH,39,9
Blockchain,Managed Hosting,33,10
Blockchain,Linode,32,11
Blockchain,Cloudflare,27,12
Blockchain,Digital Ocean,26,13
Blockchain,OpenStack,19,14
Blockchain,Colocation,17,15
Blockchain,Vercel,15,16
Blockchain,IBM Cloud or Watson,14,17
Blockchain,Oracle Cloud Infrastructure,11,18
Blockchain,Hetzner,10,19
Blockchain,"Linode, now Akamai",8,20
Blockchain,Netlify,8,21
Blockchain,OpenShift,4,22
Blockchain,Vultr,3,23
Blockchain,IBM Cloud Or Watson,3,24
Blockchain,Render,2,25
Blockchain,Fly.io,2,26
Blockchain,Oracle Cloud Infrastructure (OCI),1,27
Blockchain,Scaleway,1,28
Cloud infrastructure engineer,AWS,1957,1
Cloud infrastructure engineer,Microsoft Azure,1154,2
Cloud infrastructure engineer,Google Cloud,1072,3
Cloud infrastructure engineer,DigitalOcean,435,4
Cloud infrastructure engineer,Firebase,390,5
Cloud infrastructure engineer,Amazon Web Services (AWS),387,6
Cloud infrastructure engineer,Heroku,337,7
Cloud infrastructure engineer,VMware,277,8
Cloud infrastructure engineer,Managed Hosting,176,9
Cloud infrastructure engineer,OVH,136,10
Cloud infrastructure engineer,OpenStack,131,11
Cloud infrastructure engineer,Linode,119,12
Cloud infrastructure engineer,Cloudflare,106,13
Cloud infrastructure engineer,Colocation,74,14
Cloud infrastructure engineer,Digital Ocean,73,15
Cloud infrastructure engineer,Oracle Cloud Infrastructure,72,16
Cloud infrastructure engineer,IBM Cloud or Watson,56,17
Cloud infrastructure engineer,Hetzner,33,18
Cloud infrastructure engineer,OpenShift,28,19
Cloud infrastructure engineer,"Linode, now Akamai",25,20
Cloud infrastructure engineer,Netlify,25,21
Cloud infrastructure engineer,Oracle Cloud Infrastructure (OCI),20,22
Cloud infrastructure engineer,Fly.io,19,23
Cloud infrastructure engineer,Vercel,18,24
Cloud infrastructure engineer,Scaleway,11,25
Cloud infrastructure engineer,Vultr,10,26
Cloud infrastructure engineer,IBM Cloud Or Watson,5,27
Cloud infrastructure engineer,Render,4,28
Data or business analyst,AWS,1958,1
Data or business analyst,Microsoft Azure,1536,2
Data or business analyst,Windows,1313,3
Data or business analyst,Linux,1096,4
Data or business analyst,Google Cloud Platform,783,5
Data or business analyst,Docker,689,6
Data or business analyst,Heroku,572,7
Data or business analyst,MacOS,432,8
Data or business analyst,Google Cloud,399,9
Data or business analyst,Android,378,10
Data or business analyst,DigitalOcean,367,11
Data or business analyst,WordPress,331,12
Data or business analyst,Raspberry Pi,327,13
Data or business analyst,Kubernetes,205,14
Data or business analyst,Arduino,203,15
Data or business analyst,iOS,189,16
Data or business analyst,Firebase,162,17
Data or business analyst,VMware,146,18
Data or business analyst,IBM Cloud or Watson,137,19
Data or business analyst,Slack Apps and Integrations,135,20
Data or business analyst,Amazon Web Services (AWS),84,21
Data or business analyst,Managed Hosting,80,22
Data or business analyst,Oracle Cloud Infrastructure,65,23
Data or business analyst,Slack,58,24
Data or business analyst,Linode,41,25
Data or business analyst,OVH,38,26
Data or business analyst,OpenStack,29,27
Data or business analyst,Colocation,19,28
Data or business analyst,Digital Ocean,13,29
Data or business analyst,Cloudflare,12,30
Data or business analyst,Other(s):,10,31
Data or business analyst,Vercel,9,32
Data or business analyst,Netlify,8,33
Data or business analyst,Oracle Cloud Infrastructure (OCI),8,34
Data or business analyst,"Linode, now Akamai",6,35
Data or business analyst,IBM Cloud Or Watson,6,36
Data or business analyst,Hetzner,5,37
Data or business analyst,OpenShift,2,38
Data or business analyst,Fly.io,2,39
Data or business analyst,Scaleway,1,40
Data or business analyst,Render,1,41
Data scientist or machine learning specialist,AWS,2493,1
