YearsGroup,DevType,Database
junior,"Developer, full-stack",MySQL
junior,"Developer, full-stack",SQLite
junior,Data or business analyst,Microsoft SQL Server
junior,"Developer, full-stack",MariaDB
junior,"Developer, full-stack",MySQL
junior,"Developer, full-stack",SQLite
junior,"Developer, front-end",Firebase Realtime Database
junior,"Developer, front-end",MariaDB
junior,"Developer, front-end",MongoDB
junior,"Developer, front-end",MySQL
junior,"Developer, front-end",PostgreSQL
junior,"Developer, front-end",Redis
junior,"Developer, front-end",Supabase
junior,"Developer, full-stack",MongoDB
junior,"Developer, full-stack",MySQL
junior,"Developer, front-end",Microsoft SQL Server
junior,"Developer, front-end",MongoDB
junior,Data scientist or machine learning specialist,Microsoft SQL Server
junior,Data scientist or machine learning specialist,MySQL
junior,Data scientist or machine learning specialist,SQLite
junior,"Developer, full-stack",Microsoft SQL Server
junior,"Developer, full-stack",MySQL
junior,"Developer, full-stack",Oracle
junior,"Developer, full-stack",PostgreSQL
junior,"Developer, full-stack",Redis
junior,"Developer, full-stack",SQLite
junior,"Developer, full-stack",H2
junior,"Developer, full-stack",MySQL
junior,"Developer, full-stack",Oracle
junior,"Developer, full-stack",PostgreSQL
junior,"Developer, back-end",Microsoft SQL Server
junior,"Developer, back-end",MongoDB
junior,"Developer, back-end",MySQL
junior,"Developer, back-end",Oracle
junior,"Developer, back-end",PostgreSQL
junior,"Developer, back-end",Solr
junior,"Developer, mobile",Dynamodb
junior,"Developer, mobile",Elasticsearch
junior,"Developer, mobile",Firebase Realtime Database
junior,"Developer, mobile",MongoDB
junior,"Developer, back-end",MySQL
junior,"Developer, back-end",SQLite
junior,"Developer, full-stack",Elasticsearch
junior,"Developer, full-stack",InfluxDB
junior,"Developer, full-stack",Microsoft SQL Server
junior,"Developer, full-stack",MongoDB
junior,"Developer, full-stack",PostgreSQL
junior,"Developer, full-stack",Redis
junior,"Developer, full-stack",SQLite
junior,"Developer, QA or test",PostgreSQL
junior,Data scientist or machine learning specialist,MongoDB
junior,Data scientist or machine learning specialist,PostgreSQL
junior,"Developer, back-end",MySQL
junior,"Developer, back-end",Redis
junior,"Developer, front-end",MongoDB
junior,"Developer, front-end",MongoDB
junior,"Developer, front-end",MySQL
