YearsGroup,DevType,Platform,Count,Rank
junior,Academic researcher,AWS,29,1
junior,Academic researcher,Windows,26,2
junior,Academic researcher,Linux,24,3
junior,Academic researcher,Microsoft Azure,21,4
junior,Academic researcher,Google Cloud Platform,18,5
junior,Academic researcher,MacOS,13,6
junior,Academic researcher,Android,12,7
junior,Academic researcher,Arduino,11,8
junior,Academic researcher,Heroku,10,9
junior,Academic researcher,Docker,10,10
junior,Academic researcher,DigitalOcean,8,11
junior,Academic researcher,Raspberry Pi,7,12
junior,Academic researcher,Google Cloud,5,13
junior,Academic researcher,IBM Cloud or Watson,5,14
junior,Academic researcher,WordPress,5,15
junior,Academic researcher,Slack,5,16
junior,Academic researcher,iOS,4,17
junior,Academic researcher,Amazon Web Services (AWS),2,18
junior,Academic researcher,Firebase,2,19
junior,Academic researcher,VMware,2,20
junior,Academic researcher,Slack Apps and Integrations,2,21
junior,Academic researcher,Managed Hosting,1,22
junior,Academic researcher,Colocation,1,23
junior,Academic researcher,Oracle Cloud Infrastructure,1,24
junior,Academic researcher,Kubernetes,1,25
junior,Academic researcher,Other(s):,1,26
junior,Blockchain,AWS,14,1
junior,Blockchain,Firebase,13,2
junior,Blockchain,Heroku,11,3
junior,Blockchain,Google Cloud,7,4
junior,Blockchain,Microsoft Azure,4,5
junior,Blockchain,Amazon Web Services (AWS),3,6
junior,Blockchain,DigitalOcean,3,7
junior,Blockchain,Colocation,2,8
junior,Blockchain,Netlify,1,9
junior,Blockchain,Vercel,1,10
junior,Blockchain,Managed Hosting,1,11
junior,Blockchain,IBM Cloud or Watson,1,12
junior,Blockchain,Oracle Cloud Infrastructure,1,13
junior,Blockchain,OpenStack,1,14
junior,Blockchain,VMware,1,15
junior,Blockchain,OVH,1,16
junior,Cloud infrastructure engineer,AWS,23,1
junior,Cloud infrastructure engineer,Google Cloud,16,2
junior,Cloud infrastructure engineer,Microsoft Azure,15,3
junior,Cloud infrastructure engineer,Heroku,8,4
junior,Cloud infrastructure engineer,Amazon Web Services (AWS),7,5
junior,Cloud infrastructure engineer,Firebase,6,6
junior,Cloud infrastructure engineer,VMware,3,7
junior,Cloud infrastructure engineer,Cloudflare,2,8
junior,Cloud infrastructure engineer,OVH,2,9
junior,Cloud infrastructure engineer,Colocation,2,10
junior,Cloud infrastructure engineer,DigitalOcean,2,11
junior,Cloud infrastructure engineer,Managed Hosting,2,12
junior,Cloud infrastructure engineer,OpenShift,1,13
junior,Cloud infrastructure engineer,Digital Ocean,1,14
junior,Cloud infrastructure engineer,IBM Cloud or Watson,1,15
junior,Cloud infrastructure engineer,Oracle Cloud Infrastructure,1,16
junior,Cloud infrastructure engineer,OpenStack,1,17
junior,Data or business analyst,AWS,98,1
junior,Data or business analyst,Microsoft Azure,78,2
junior,Data or business analyst,Windows,66,3
junior,Data or business analyst,Google Cloud Platform,55,4
junior,Data or business analyst,Heroku,50,5
junior,Data or business analyst,Linux,49,6
junior,Data or business analyst,Docker,30,7
junior,Data or business analyst,Google Cloud,24,8
junior,Data or business analyst,MacOS,20,9
junior,Data or business analyst,Firebase,17,10
junior,Data or business analyst,DigitalOcean,17,11
junior,Data or business analyst,Android,13,12
junior,Data or business analyst,IBM Cloud or Watson,12,13
junior,Data or business analyst,Raspberry Pi,11,14
junior,Data or business analyst,Amazon Web Services (AWS),9,15
junior,Data or business analyst,VMware,8,16
junior,Data or business analyst,WordPress,8,17
junior,Data or business analyst,Slack Apps and Integrations,7,18
junior,Data or business analyst,Kubernetes,7,19
junior,Data or business analyst,Arduino,7,20
junior,Data or business analyst,iOS,5,21
junior,Data or business analyst,Oracle Cloud Infrastructure,4,22
junior,Data or business analyst,Managed Hosting,3,23
junior,Data or business analyst,OpenStack,3,24
junior,Data or business analyst,Linode,3,25
junior,Data or business analyst,Digital Ocean,2,26
junior,Data or business analyst,Cloudflare,2,27
junior,Data or business analyst,OVH,2,28
junior,Data or business analyst,Slack,2,29
junior,Data or business analyst,Oracle Cloud Infrastructure (OCI),1,30
junior,Data or business analyst,"Linode, now Akamai",1,31
junior,Data or business analyst,Hetzner,1,32
junior,Data or business analyst,Netlify,1,33
junior,Data or business analyst,Vercel,1,34
junior,Data or business analyst,Colocation,1,35
junior,Data scientist or machine learning specialist,AWS,88,1
junior,Data scientist or machine learning specialist,Microsoft Azure,58,2
junior,Data scientist or machine learning specialist,Linux,48,3
junior,Data scientist or machine learning specialist,Google Cloud Platform,45,4
junior,Data scientist or machine learning specialist,Windows,44,5
junior,Data scientist or machine learning specialist,Heroku,35,6
junior,Data scientist or machine learning specialist,Docker,27,7
junior,Data scientist or machine learning specialist,Google Cloud,19,8
junior,Data scientist or machine learning specialist,Android,19,9
junior,Data scientist or machine learning specialist,MacOS,17,10
junior,Data scientist or machine learning specialist,DigitalOcean,16,11
junior,Data scientist or machine learning specialist,WordPress,13,12
junior,Data scientist or machine learning specialist,Amazon Web Services (AWS),11,13
junior,Data scientist or machine learning specialist,Raspberry Pi,11,14
junior,Data scientist or machine learning specialist,IBM Cloud or Watson,7,15
junior,Data scientist or machine learning specialist,Slack Apps and Integrations,7,16
junior,Data scientist or machine learning specialist,Arduino,7,17
junior,Data scientist or machine learning specialist,Slack,7,18
junior,Data scientist or machine learning specialist,Kubernetes,5,19
junior,Data scientist or machine learning specialist,iOS,5,20
junior,Data scientist or machine learning specialist,VMware,4,21
junior,Data scientist or machine learning specialist,Firebase,3,22
junior,Data scientist or machine learning specialist,Oracle Cloud Infrastructure (OCI),1,23
junior,Data scientist or machine learning specialist,Managed Hosting,1,24
junior,Data scientist or machine learning specialist,"Linode, now Akamai",1,25
junior,Data scientist or machine learning specialist,Netlify,1,26
junior,Data scientist or machine learning specialist,IBM Cloud Or Watson,1,27
junior,Data scientist or machine learning specialist,Oracle Cloud Infrastructure,1,28
junior,Data scientist or machine learning specialist,Other(s):,1,29
junior,Database administrator,Windows,59,1
junior,Database administrator,AWS,57,2
junior,Database administrator,Linux,47,3
junior,Database administrator,Microsoft Azure,44,4
junior,Database administrator,Heroku,34,5
junior,Database administrator,Android,26,6
junior,Database administrator,Google Cloud Platform,25,7
junior,Database administrator,Docker,23,8
junior,Database administrator,WordPress,15,9
junior,Database administrator,DigitalOcean,13,10
junior,Database administrator,Google Cloud,11,11
junior,Database administrator,MacOS,11,12
junior,Database administrator,Firebase,9,13
junior,Database administrator,Raspberry Pi,9,14
junior,Database administrator,Arduino,9,15
junior,Database administrator,Slack,7,16
junior,Database administrator,Slack Apps and Integrations,6,17
junior,Database administrator,iOS,6,18
junior,Database administrator,VMware,5,19
junior,Database administrator,Linode,4,20
junior,Database administrator,Kubernetes,3,21
junior,Database administrator,OVH,2,22
junior,Database administrator,Managed Hosting,2,23
junior,Database administrator,IBM Cloud or Watson,2,24
junior,Database administrator,Amazon Web Services (AWS),1,25
junior,Database administrator,Colocation,1,26
