,LanguageHaveWorkedWith,AverageSalary
0,OCaml,2661372.9031477
1,SAS,2547688.212723658
2,APL,2295054.0036101085
3,Fortran,2199190.3732394367
4,COBOL,1446567.3475609757
5,Crystal,1269961.6033578175
6,LISP,1018436.4579804561
7,Ada,928229.6261682243
8,Solidity,830094.7877813504
9,Julia,811539.8034985423
10,Cobol,780069.2049180327
11,Erlang,710943.1581395349
12,F#,669942.4888337469
13,Prolog,546686.0503144654
14,MATLAB,515127.4872
15,Lua,481429.17647058825
16,Delphi,438085.98376544705
17,Haskell,411346.6734006734
18,Groovy,367862.82082928857
19,Lisp,361211.2345276873
20,Perl,328304.92352452205
21,Objective-C,286076.6793759041
22,Scala,285927.90845141193
23,WebAssembly,266312.6730038023
24,Assembly,252068.23650336216
25,Rust,233691.76978848342
26,R,228796.99333102372
27,Clojure,219022.70593196515
28,VBA,214994.88080085805
29,PowerShell,213640.745655986
30,Bash/Shell,206709.0757285101
31,Go,203494.2447303162
32,Elixir,187320.69946147472
33,Kotlin,180008.7969793394
34,Ruby,178049.68948193215
35,Flow,165677.21739130435
36,Swift,160348.6801773713
37,C,156756.3578682222
38,C++,156170.66054627878
39,Visual Basic (.Net),148491.43129770993
40,Python,147380.138374557
41,C#,146572.09113808654
42,TypeScript,144725.26829418275
43,Raku,144309.24
44,Java,140580.99058013834
45,SQL,137924.13216308417
46,Zig,132704.67142857143
47,JavaScript,131003.53270928863
48,Other(s):,127809.20879120879
49,HTML/CSS,126908.295447385
50,Bash/Shell/PowerShell,124166.63688270334
51,Node.js,124077.14866345676
52,PHP,115464.97559085625
53,Bash/Shell (all shells),111482.39428279735
54,Apex,107532.875
55,Nim,103851.5294117647
56,Dart,95649.85530682861
57,GDScript,93208.27491408934
58,Matlab,92095.39134275618
