DevType,Database,Count,Rank
Academic researcher,MySQL,231,1
Academic researcher,SQLite,160,2
Academic researcher,MongoDB,157,3
Academic researcher,PostgreSQL,154,4
Academic researcher,Microsoft SQL Server,82,5
Academic researcher,MariaDB,60,6
Academic researcher,Firebase,60,7
Academic researcher,Redis,59,8
Academic researcher,Oracle,44,9
Academic researcher,Elasticsearch,42,10
Academic researcher,DynamoDB,30,11
Academic researcher,Cassandra,11,12
Academic researcher,Firebase Realtime Database,11,13
Academic researcher,IBM DB2,11,14
Academic researcher,Cloud Firestore,7,15
Academic researcher,Couchbase,4,16
Academic researcher,Neo4j,3,17
Academic researcher,CouchDB,2,18
Academic researcher,Microsoft Access,1,19
Academic researcher,Dynamodb,1,20
Academic researcher,Other(s):,1,21
Blockchain,PostgreSQL,55,1
Blockchain,MySQL,51,2
Blockchain,MongoDB,46,3
Blockchain,Redis,32,4
Blockchain,SQLite,32,5
Blockchain,Microsoft SQL Server,19,6
Blockchain,Firebase Realtime Database,13,7
Blockchain,Cloud Firestore,13,8
Blockchain,DynamoDB,11,9
Blockchain,MariaDB,11,10
Blockchain,Elasticsearch,8,11
Blockchain,Cassandra,4,12
Blockchain,Oracle,4,13
Blockchain,Supabase,2,14
Blockchain,CouchDB,2,15
Blockchain,IBM DB2,2,16
Blockchain,Neo4j,2,17
Blockchain,Couch DB,1,18
Blockchain,BigQuery,1,19
Cloud infrastructure engineer,PostgreSQL,164,1
Cloud infrastructure engineer,MySQL,123,2
Cloud infrastructure engineer,Redis,97,3
Cloud infrastructure engineer,MongoDB,96,4
Cloud infrastructure engineer,SQLite,86,5
Cloud infrastructure engineer,Microsoft SQL Server,67,6
Cloud infrastructure engineer,DynamoDB,59,7
Cloud infrastructure engineer,Elasticsearch,55,8
Cloud infrastructure engineer,MariaDB,47,9
Cloud infrastructure engineer,Firebase Realtime Database,30,10
Cloud infrastructure engineer,Cloud Firestore,29,11
Cloud infrastructure engineer,Oracle,24,12
Cloud infrastructure engineer,Cassandra,11,13
Cloud infrastructure engineer,Dynamodb,9,14
Cloud infrastructure engineer,Neo4j,8,15
Cloud infrastructure engineer,CouchDB,7,16
Cloud infrastructure engineer,BigQuery,5,17
Cloud infrastructure engineer,IBM DB2,3,18
Cloud infrastructure engineer,Cockroachdb,3,19
Cloud infrastructure engineer,Snowflake,3,20
Cloud infrastructure engineer,InfluxDB,3,21
Cloud infrastructure engineer,Couchbase,3,22
Cloud infrastructure engineer,Microsoft Access,2,23
Cloud infrastructure engineer,Cosmos DB,1,24
Cloud infrastructure engineer,Couch DB,1,25
Data or business analyst,MySQL,332,1
Data or business analyst,PostgreSQL,317,2
