YearsGroup,DevType,Language,Count,Rank
middle,Academic researcher,Python,257,1
middle,Academic researcher,JavaScript,243,2
middle,Academic researcher,HTML/CSS,228,3
middle,Academic researcher,SQL,205,4
middle,Academic researcher,Java,149,5
middle,Academic researcher,C++,123,6
middle,Academic researcher,C,112,7
middle,Academic researcher,PHP,92,8
middle,Academic researcher,C#,91,9
middle,Academic researcher,TypeScript,86,10
middle,Academic researcher,R,81,11
middle,Academic researcher,Bash/Shell/PowerShell,61,12
middle,Academic researcher,Bash/Shell,53,13
middle,Academic researcher,Assembly,41,14
middle,Academic researcher,Go,37,15
middle,Academic researcher,Kotlin,33,16
middle,Academic researcher,Node.js,33,17
middle,Academic researcher,Rust,30,18
middle,Academic researcher,Dart,30,19
middle,Academic researcher,VBA,26,20
middle,Academic researcher,PowerShell,24,21
middle,Academic researcher,Ruby,24,22
middle,Academic researcher,Scala,17,23
middle,Academic researcher,Swift,17,24
middle,Academic researcher,Objective-C,15,25
middle,Academic researcher,MATLAB,14,26
middle,Academic researcher,Julia,14,27
middle,Academic researcher,Matlab,13,28
middle,Academic researcher,Haskell,12,29
middle,Academic researcher,Bash/Shell (all shells),8,30
middle,Academic researcher,Lua,7,31
middle,Academic researcher,Perl,7,32
middle,Academic researcher,LISP,7,33
middle,Academic researcher,Other(s):,7,34
middle,Academic researcher,Elixir,6,35
middle,Academic researcher,F#,5,36
middle,Academic researcher,Groovy,5,37
middle,Academic researcher,Erlang,4,38
middle,Academic researcher,Visual Basic (.Net),3,39
middle,Academic researcher,Solidity,3,40
middle,Academic researcher,APL,2,41
middle,Academic researcher,Delphi,2,42
middle,Academic researcher,COBOL,2,43
middle,Academic researcher,Clojure,2,44
middle,Academic researcher,Crystal,1,45
middle,Academic researcher,OCaml,1,46
middle,Academic researcher,Fortran,1,47
middle,Academic researcher,SAS,1,48
middle,Blockchain,JavaScript,66,1
middle,Blockchain,TypeScript,52,2
middle,Blockchain,HTML/CSS,51,3
middle,Blockchain,Python,49,4
middle,Blockchain,SQL,40,5
middle,Blockchain,Solidity,32,6
middle,Blockchain,Rust,24,7
middle,Blockchain,C++,24,8
middle,Blockchain,Bash/Shell,24,9
middle,Blockchain,Java,23,10
middle,Blockchain,C,23,11
middle,Blockchain,C#,19,12
middle,Blockchain,Go,17,13
middle,Blockchain,Dart,13,14
middle,Blockchain,PHP,12,15
middle,Blockchain,PowerShell,9,16
middle,Blockchain,Kotlin,7,17
middle,Blockchain,Haskell,6,18
middle,Blockchain,R,6,19
middle,Blockchain,Swift,6,20
middle,Blockchain,Lua,4,21
middle,Blockchain,Bash/Shell (all shells),4,22
middle,Blockchain,Ruby,4,23
middle,Blockchain,Elixir,4,24
middle,Blockchain,MATLAB,4,25
middle,Blockchain,Objective-C,4,26
middle,Blockchain,Groovy,4,27
middle,Blockchain,Assembly,4,28
middle,Blockchain,Scala,4,29
middle,Blockchain,VBA,3,30
middle,Blockchain,Delphi,2,31
middle,Blockchain,LISP,2,32
middle,Blockchain,Ada,1,33
middle,Blockchain,APL,1,34
middle,Blockchain,Julia,1,35
middle,Blockchain,COBOL,1,36
middle,Blockchain,F#,1,37
middle,Blockchain,OCaml,1,38
middle,Blockchain,Erlang,1,39
middle,Blockchain,Clojure,1,40
middle,Cloud infrastructure engineer,Python,206,1
middle,Cloud infrastructure engineer,JavaScript,179,2
middle,Cloud infrastructure engineer,SQL,165,3
middle,Cloud infrastructure engineer,HTML/CSS,143,4
middle,Cloud infrastructure engineer,Bash/Shell,124,5
middle,Cloud infrastructure engineer,TypeScript,116,6
middle,Cloud infrastructure engineer,Go,92,7
middle,Cloud infrastructure engineer,Java,89,8
middle,Cloud infrastructure engineer,C#,57,9
middle,Cloud infrastructure engineer,C++,53,10
middle,Cloud infrastructure engineer,PowerShell,50,11
middle,Cloud infrastructure engineer,C,48,12
middle,Cloud infrastructure engineer,Rust,46,13
middle,Cloud infrastructure engineer,PHP,36,14
middle,Cloud infrastructure engineer,Dart,23,15
middle,Cloud infrastructure engineer,Bash/Shell (all shells),18,16
middle,Cloud infrastructure engineer,Groovy,16,17
middle,Cloud infrastructure engineer,Ruby,16,18
middle,Cloud infrastructure engineer,Scala,13,19
middle,Cloud infrastructure engineer,Assembly,13,20
middle,Cloud infrastructure engineer,R,13,21
middle,Cloud infrastructure engineer,Lua,12,22
middle,Cloud infrastructure engineer,Haskell,11,23
middle,Cloud infrastructure engineer,Kotlin,11,24
middle,Cloud infrastructure engineer,MATLAB,8,25
middle,Cloud infrastructure engineer,VBA,8,26
middle,Cloud infrastructure engineer,Swift,8,27
middle,Cloud infrastructure engineer,Perl,5,28
middle,Cloud infrastructure engineer,Elixir,5,29
middle,Cloud infrastructure engineer,Clojure,4,30
middle,Cloud infrastructure engineer,Objective-C,4,31
middle,Cloud infrastructure engineer,Solidity,4,32
middle,Cloud infrastructure engineer,Erlang,4,33
middle,Cloud infrastructure engineer,Lisp,2,34
middle,Cloud infrastructure engineer,F#,2,35
middle,Cloud infrastructure engineer,Visual Basic (.Net),1,36
middle,Cloud infrastructure engineer,OCaml,1,37
middle,Cloud infrastructure engineer,APL,1,38
middle,Cloud infrastructure engineer,Fortran,1,39
middle,Cloud infrastructure engineer,LISP,1,40
middle,Cloud infrastructure engineer,Julia,1,41
middle,Cloud infrastructure engineer,SAS,1,42
middle,Data or business analyst,Python,525,1
middle,Data or business analyst,SQL,514,2
middle,Data or business analyst,JavaScript,375,3
middle,Data or business analyst,HTML/CSS,369,4
middle,Data or business analyst,R,184,5
middle,Data or business analyst,Java,169,6
middle,Data or business analyst,C#,147,7
middle,Data or business analyst,TypeScript,118,8
middle,Data or business analyst,VBA,114,9
middle,Data or business analyst,PHP,106,10
middle,Data or business analyst,Bash/Shell,96,11
middle,Data or business analyst,C++,94,12
middle,Data or business analyst,Bash/Shell/PowerShell,86,13
middle,Data or business analyst,C,84,14
middle,Data or business analyst,PowerShell,74,15
middle,Data or business analyst,Node.js,52,16
middle,Data or business analyst,Go,34,17
middle,Data or business analyst,Scala,33,18
middle,Data or business analyst,Dart,30,19
middle,Data or business analyst,Assembly,22,20
middle,Data or business analyst,Kotlin,22,21
middle,Data or business analyst,Rust,20,22
middle,Data or business analyst,Ruby,18,23
middle,Data or business analyst,Swift,18,24
