YearsGroup,DevType,AverageSalary
middle,Security professional,217683.0
middle,Project manager,196948.77319587627
middle,Cloud infrastructure engineer,175383.30414746545
middle,Blockchain,156198.2857142857
middle,Marketing or sales professional,124559.97916666667
middle,Product manager,124246.28828828828
middle,Engineering manager,121684.99350649351
middle,DevOps specialist,117863.90279627164
middle,Data or business analyst,117775.54880694143
middle,System administrator,108033.88479262673
middle,"Senior Executive (C-Suite, VP, etc.)",104896.73770491804
middle,"Engineer, data",100634.4608
middle,"Developer, full-stack",96799.9513473054
middle,"Engineer, site reliability",93866.39834024897
middle,Scientist,91220.35344827586
middle,"Developer, QA or test",89177.15845824411
middle,Database administrator,87515.9559859155
middle,"Developer, desktop or enterprise applications",87398.44870651205
middle,Designer,85285.07169117648
middle,"Developer, back-end",83245.49347150259
middle,"Developer, embedded applications or devices",81627.58469945355
middle,"Developer, front-end",81049.259894048
middle,Data scientist or machine learning specialist,80325.1301369863
middle,Educator,73993.70370370371
middle,Developer Experience,64313.0
middle,Other (please specify):,61026.44078947369
middle,"Developer, mobile",58913.67851851852
middle,"Developer, game or graphics",58758.7100591716
middle,Developer Advocate,50910.5
middle,Hardware Engineer,44218.0
middle,Senior executive/VP,42789.666666666664
middle,Research & Development role,41671.0
middle,Student,39458.328267477205
middle,Academic researcher,39172.56296296296
