,PlatformHaveWorkedWith,AverageSalary
0,Colocation,7544561.615364217
1,Linode,5707414.446185008
2,OpenStack,5265138.689353377
3,Oracle Cloud Infrastructure,5007708.503522545
4,OVH,3853547.7764324807
5,Managed Hosting,3175212.447807948
6,IBM Cloud or Watson,2691101.5422420367
7,VMware,2250660.6457689353
8,Firebase,1313019.4583237064
9,Google Cloud,1031759.3418790002
10,Heroku,665854.0360623212
11,Microsoft Azure,500300.1479698648
12,AWS,402729.8066913141
13,Other(s):,242520.98269462018
14,Slack,236101.916745031
15,Cloudflare,207152.63102452454
16,DigitalOcean,206828.40788455828
17,Kubernetes,159262.44166107563
18,Google Cloud Platform,154612.99922067043
19,iOS,153170.85286974406
20,Slack Apps and Integrations,151982.18678581828
21,Scaleway,149823.0741690165
22,Render,149679.1775564523
23,Fly.io,148163.56092201234
24,Raspberry Pi,147191.86625463376
25,Vultr,144552.23577446534
26,MacOS,143740.2377485862
27,Amazon Web Services (AWS),143178.93564548332
28,Docker,131656.0317968632
29,WordPress,128684.73008030222
30,Oracle Cloud Infrastructure (OCI),125481.48886569242
31,Arduino,123320.48531713351
32,IBM Cloud Or Watson,122391.63958871663
33,Android,121666.09577486203
34,Linux,120524.21716858614
35,"Linode, now Akamai",120461.32653171245
36,OpenShift,120411.9726409477
37,Windows,117810.42354407921
38,Hetzner,111506.48884246995
39,Digital Ocean,102389.96469853671
40,Vercel,97569.49224715546
41,Netlify,96877.44021455357
