YearsGroup,DevType,AverageSalary
senior,Blockchain,403535.0613333333
senior,"Senior Executive (C-Suite, VP, etc.)",259884.6189415042
senior,Cloud infrastructure engineer,248598.91237541527
senior,Marketing or sales professional,244047.0635359116
senior,Project manager,201266.3775510204
senior,"Engineer, site reliability",201247.48640611724
senior,Security professional,189884.68885191347
senior,Engineering manager,183304.48459915613
senior,Other (please specify):,168532.84586466165
senior,"Developer, embedded applications or devices",163980.3836545325
senior,Designer,162290.05794205793
senior,"Developer, game or graphics",161760.8556910569
senior,DevOps specialist,151524.91850051176
senior,"Developer, desktop or enterprise applications",150745.138666378
senior,Senior executive/VP,149539.36073059362
senior,"Engineer, data",149331.35854893137
senior,"Developer, QA or test",147525.9618345093
senior,Database administrator,144754.3622159091
senior,Data scientist or machine learning specialist,143389.66654778886
senior,Product manager,139560.35354736424
senior,Data or business analyst,135249.28677331252
senior,Developer Experience,133275.2857142857
senior,"Developer, full-stack",132969.4886695719
senior,System administrator,132506.09165942657
senior,"Developer, back-end",131065.63265306123
senior,Educator,130311.42350332595
senior,Developer Advocate,130137.78571428571
senior,Research & Development role,130137.58139534884
senior,"Developer, front-end",128847.71750563486
senior,"Developer, mobile",119091.7598253275
senior,Scientist,108698.7107329843
senior,Hardware Engineer,106110.47826086957
senior,Student,99975.42417582417
senior,Academic researcher,83124.71637202152
