YearsGroup,DevType,Tools,Count,Rank
senior,Academic researcher,Github,591,1
senior,Academic researcher,Visual Studio Code,470,2
senior,Academic researcher,Slack,411,3
senior,Academic researcher,Gitlab,376,4
senior,Academic researcher,"Google Suite (Docs, Meet, etc)",363,5
senior,Academic researcher,Jira,318,6
senior,Academic researcher,Trello,259,7
senior,Academic researcher,Vim,246,8
senior,Academic researcher,PyCharm,234,9
senior,Academic researcher,Notepad++,230,10
senior,Academic researcher,IPython/Jupyter,210,11
senior,Academic researcher,IntelliJ,200,12
senior,Academic researcher,Confluence,197,13
senior,Academic researcher,Visual Studio,193,14
senior,Academic researcher,Microsoft Teams,183,15
senior,Academic researcher,Android Studio,172,16
senior,Academic researcher,Sublime Text,145,17
senior,Academic researcher,Eclipse,123,18
senior,Academic researcher,Atom,103,19
senior,Academic researcher,Microsoft Azure,102,20
senior,Academic researcher,RStudio,79,21
senior,Academic researcher,Xcode,75,22
senior,Academic researcher,Webstorm,73,23
senior,Academic researcher,NetBeans,63,24
senior,Academic researcher,Nano,50,25
senior,Academic researcher,Neovim,48,26
senior,Academic researcher,Emacs,45,27
senior,Academic researcher,Stack Overflow for Teams,42,28
senior,Academic researcher,PHPStorm,39,29
senior,Academic researcher,CLion,30,30
senior,Academic researcher,Rider,30,31
senior,Academic researcher,PhpStorm,28,32
senior,Academic researcher,Jupyter Notebook/JupyterLab,25,33
senior,Academic researcher,Facebook Workplace,21,34
senior,Academic researcher,Spyder,15,35
senior,Academic researcher,RubyMine,15,36
senior,Academic researcher,GoLand,15,37
senior,Academic researcher,TextMate,13,38
senior,Academic researcher,Qt Creator,12,39
senior,Academic researcher,IntelliJ IDEA,12,40
senior,Academic researcher,IPython,12,41
senior,Academic researcher,"RAD Studio (Delphi, C++ Builder)",5,42
senior,Academic researcher,DataGrip,4,43
senior,Academic researcher,VSCodium,2,44
senior,Academic researcher,WebStorm,2,45
senior,Academic researcher,Kate,2,46
senior,Academic researcher,Micro,1,47
senior,Academic researcher,Netbeans,1,48
senior,Academic researcher,Code::Blocks,1,49
senior,Academic researcher,Helix,1,50
senior,Academic researcher,Geany,1,51
senior,Blockchain,Visual Studio Code,287,1
senior,Blockchain,Vim,144,2
senior,Blockchain,Android Studio,99,3
senior,Blockchain,IntelliJ,95,4
senior,Blockchain,Notepad++,93,5
senior,Blockchain,Visual Studio,82,6
senior,Blockchain,Sublime Text,76,7
senior,Blockchain,Xcode,62,8
senior,Blockchain,Webstorm,60,9
senior,Blockchain,PyCharm,56,10
senior,Blockchain,Nano,55,11
senior,Blockchain,Eclipse,51,12
senior,Blockchain,Neovim,47,13
senior,Blockchain,Atom,43,14
senior,Blockchain,Emacs,38,15
senior,Blockchain,PhpStorm,37,16
senior,Blockchain,IPython/Jupyter,36,17
senior,Blockchain,CLion,34,18
senior,Blockchain,GoLand,31,19
senior,Blockchain,NetBeans,22,20
senior,Blockchain,Rider,21,21
senior,Blockchain,IntelliJ IDEA,19,22
senior,Blockchain,WebStorm,10,23
senior,Blockchain,TextMate,10,24
senior,Blockchain,Qt Creator,10,25
senior,Blockchain,RStudio,9,26
senior,Blockchain,RubyMine,9,27
senior,Blockchain,Spyder,8,28
senior,Blockchain,Jupyter Notebook/JupyterLab,7,29
senior,Blockchain,"RAD Studio (Delphi, C++ Builder)",6,30
senior,Blockchain,Goland,5,31
senior,Blockchain,VSCodium,5,32
senior,Blockchain,DataGrip,3,33
senior,Blockchain,Helix,2,34
senior,Blockchain,Micro,2,35
senior,Blockchain,Code::Blocks,1,36
senior,Blockchain,Netbeans,1,37
senior,Blockchain,IPython,1,38
senior,Blockchain,Fleet,1,39
senior,Cloud infrastructure engineer,Visual Studio Code,1900,1
senior,Cloud infrastructure engineer,Vim,902,2
senior,Cloud infrastructure engineer,Visual Studio,709,3
senior,Cloud infrastructure engineer,IntelliJ,706,4
senior,Cloud infrastructure engineer,Notepad++,629,5
senior,Cloud infrastructure engineer,PyCharm,446,6
senior,Cloud infrastructure engineer,Sublime Text,421,7
senior,Cloud infrastructure engineer,Android Studio,388,8
senior,Cloud infrastructure engineer,Nano,286,9
senior,Cloud infrastructure engineer,Xcode,265,10
senior,Cloud infrastructure engineer,IPython/Jupyter,238,11
senior,Cloud infrastructure engineer,Webstorm,234,12
senior,Cloud infrastructure engineer,Neovim,228,13
senior,Cloud infrastructure engineer,Eclipse,226,14
senior,Cloud infrastructure engineer,Rider,213,15
senior,Cloud infrastructure engineer,Atom,194,16
senior,Cloud infrastructure engineer,GoLand,185,17
senior,Cloud infrastructure engineer,PhpStorm,161,18
senior,Cloud infrastructure engineer,Emacs,136,19
senior,Cloud infrastructure engineer,CLion,119,20
senior,Cloud infrastructure engineer,IntelliJ IDEA,91,21
senior,Cloud infrastructure engineer,NetBeans,74,22
senior,Cloud infrastructure engineer,RubyMine,53,23
senior,Cloud infrastructure engineer,Jupyter Notebook/JupyterLab,50,24
senior,Cloud infrastructure engineer,RStudio,50,25
senior,Cloud infrastructure engineer,Qt Creator,46,26
senior,Cloud infrastructure engineer,TextMate,37,27
senior,Cloud infrastructure engineer,"RAD Studio (Delphi, C++ Builder)",30,28
senior,Cloud infrastructure engineer,IPython,27,29
senior,Cloud infrastructure engineer,Spyder,22,30
senior,Cloud infrastructure engineer,DataGrip,22,31
senior,Cloud infrastructure engineer,VSCodium,21,32
senior,Cloud infrastructure engineer,WebStorm,19,33
senior,Cloud infrastructure engineer,Goland,19,34
senior,Cloud infrastructure engineer,Helix,7,35
senior,Cloud infrastructure engineer,Fleet,6,36
senior,Cloud infrastructure engineer,Netbeans,5,37
senior,Cloud infrastructure engineer,Code::Blocks,5,38
senior,Cloud infrastructure engineer,Kate,4,39
senior,Cloud infrastructure engineer,BBEdit,3,40
senior,Cloud infrastructure engineer,Nova,2,41
senior,Cloud infrastructure engineer,Micro,2,42
senior,Cloud infrastructure engineer,Geany,1,43
senior,Cloud infrastructure engineer,"Rad Studio (Delphi, C++ Builder)",1,44
senior,Data or business analyst,Visual Studio Code,1171,1
senior,Data or business analyst,Github,813,2
senior,Data or business analyst,Notepad++,670,3
senior,Data or business analyst,Visual Studio,641,4
senior,Data or business analyst,Slack,522,5
senior,Data or business analyst,Jira,513,6
senior,Data or business analyst,"Google Suite (Docs, Meet, etc)",469,7
senior,Data or business analyst,Vim,400,8
senior,Data or business analyst,IntelliJ,385,9
senior,Data or business analyst,IPython/Jupyter,364,10
senior,Data or business analyst,Microsoft Teams,360,11
senior,Data or business analyst,Gitlab,356,12
senior,Data or business analyst,PyCharm,338,13
senior,Data or business analyst,Sublime Text,332,14
senior,Data or business analyst,Android Studio,331,15
senior,Data or business analyst,Confluence,329,16
senior,Data or business analyst,Eclipse,289,17
senior,Data or business analyst,Trello,283,18
senior,Data or business analyst,Microsoft Azure,267,19
senior,Data or business analyst,Xcode,194,20
senior,Data or business analyst,Atom,187,21
senior,Data or business analyst,RStudio,149,22
senior,Data or business analyst,Webstorm,135,23
senior,Data or business analyst,NetBeans,135,24
senior,Data or business analyst,Nano,87,25
senior,Data or business analyst,Rider,81,26
senior,Data or business analyst,PHPStorm,80,27
senior,Data or business analyst,Emacs,71,28
senior,Data or business analyst,PhpStorm,60,29
senior,Data or business analyst,Neovim,50,30
senior,Data or business analyst,Stack Overflow for Teams,49,31
senior,Data or business analyst,"RAD Studio (Delphi, C++ Builder)",46,32
senior,Data or business analyst,Facebook Workplace,43,33
senior,Data or business analyst,Jupyter Notebook/JupyterLab,33,34
senior,Data or business analyst,RubyMine,27,35
senior,Data or business analyst,Spyder,24,36
senior,Data or business analyst,TextMate,23,37
senior,Data or business analyst,GoLand,23,38
senior,Data or business analyst,CLion,21,39
senior,Data or business analyst,IntelliJ IDEA,16,40
senior,Data or business analyst,Qt Creator,13,41
senior,Data or business analyst,IPython,8,42
senior,Data or business analyst,DataGrip,6,43
senior,Data or business analyst,VSCodium,5,44
senior,Data or business analyst,BBEdit,2,45
senior,Data or business analyst,Netbeans,2,46
senior,Data or business analyst,Micro,2,47
senior,Data or business analyst,"Rad Studio (Delphi, C++ Builder)",2,48
senior,Data or business analyst,Code::Blocks,2,49
senior,Data or business analyst,Kate,2,50
senior,Data or business analyst,WebStorm,1,51
senior,Data or business analyst,Geany,1,52
senior,Data scientist or machine learning specialist,Visual Studio Code,1381,1
senior,Data scientist or machine learning specialist,Github,862,2
senior,Data scientist or machine learning specialist,IPython/Jupyter,808,3
senior,Data scientist or machine learning specialist,PyCharm,735,4
senior,Data scientist or machine learning specialist,Vim,648,5
senior,Data scientist or machine learning specialist,Slack,631,6
senior,Data scientist or machine learning specialist,Jira,568,7
senior,Data scientist or machine learning specialist,Notepad++,545,8
senior,Data scientist or machine learning specialist,"Google Suite (Docs, Meet, etc)",525,9
senior,Data scientist or machine learning specialist,Gitlab,454,10
senior,Data scientist or machine learning specialist,IntelliJ,439,11
senior,Data scientist or machine learning specialist,Visual Studio,423,12
senior,Data scientist or machine learning specialist,Confluence,402,13
senior,Data scientist or machine learning specialist,Sublime Text,392,14
senior,Data scientist or machine learning specialist,Android Studio,314,15
senior,Data scientist or machine learning specialist,Trello,314,16
senior,Data scientist or machine learning specialist,Microsoft Teams,301,17
senior,Data scientist or machine learning specialist,RStudio,296,18
senior,Data scientist or machine learning specialist,Eclipse,277,19
senior,Data scientist or machine learning specialist,Atom,246,20
senior,Data scientist or machine learning specialist,Microsoft Azure,203,21
senior,Data scientist or machine learning specialist,Jupyter Notebook/JupyterLab,201,22
senior,Data scientist or machine learning specialist,Xcode,178,23
senior,Data scientist or machine learning specialist,Neovim,142,24
senior,Data scientist or machine learning specialist,Emacs,124,25
senior,Data scientist or machine learning specialist,Webstorm,123,26
senior,Data scientist or machine learning specialist,Nano,111,27
senior,Data scientist or machine learning specialist,NetBeans,102,28
senior,Data scientist or machine learning specialist,IPython,97,29
senior,Data scientist or machine learning specialist,Spyder,76,30
senior,Data scientist or machine learning specialist,Stack Overflow for Teams,66,31
senior,Data scientist or machine learning specialist,IntelliJ IDEA,63,32
senior,Data scientist or machine learning specialist,PHPStorm,58,33
senior,Data scientist or machine learning specialist,Rider,49,34
senior,Data scientist or machine learning specialist,CLion,48,35
senior,Data scientist or machine learning specialist,PhpStorm,41,36
senior,Data scientist or machine learning specialist,Facebook Workplace,40,37
senior,Data scientist or machine learning specialist,TextMate,31,38
